Thickness;AR;X_lew;Etaykink;OEW (kg);DOC (M$_year);Block fuel (kg);LTO_Nox (kg);LTO_CO (kg);LTO UHC (kg);TOTAL GWP (kg);MS;LFL (m);TOFL (m)
15;9.5;10.2;25;12770.05572;12.773852;2111.687084;1.261816469;0.094089832;0.006117921;5454.197829;1.045913;1221.131055;1360.236621
15;9.5;10.2;26.5;12770.89007;12.774172;2111.902992;1.261862921;0.094090765;0.006118162;5454.723881;1.046944;1219.323058;1359.319461
15;9.5;10.2;28;12771.77216;12.774498;2112.125838;1.261908552;0.094091726;0.0061184;5455.27116;1.049894;1217.437645;1358.35183
15;9.5;10.2;29.79;12772.8932;12.774905;2112.403571;1.261966097;0.094092934;0.0061187;5455.948611;1.056133;1215.07845;1357.144198
15;9.5;10.2;31;12772.18082;12.775074;2112.581207;1.261964461;0.094093624;0.006118714;5456.487774;1.06046;1213.325034;1356.048435
15;9.5;10.2;33.5;12770.86201;12.775461;2112.971218;1.261967388;0.094095148;0.006118774;5457.648726;1.074004;1209.540421;1353.713056
15;9.5;10.3;33.5;12762.15634;12.774527;2113.807913;1.261771981;0.094094414;0.006117858;5459.875764;3.725503;1209.069377;1353.307393
15;9.5;10.3;31;12763.46969;12.774133;2113.416226;1.261764039;0.094092871;0.006117774;5458.736517;3.709018;1212.841796;1355.610059
15;9.5;10.3;29.79;12764.18176;12.773965;2113.238863;1.261765698;0.094092181;0.006117761;5458.203799;3.703358;1214.594557;1356.704314
15;9.5;10.3;28;12763.06035;12.773559;2112.961401;1.261708183;0.094090973;0.006117461;5457.536118;3.695193;1216.952827;1357.909622
15;9.5;10.3;26.5;12762.17806;12.773234;2112.738813;1.261662581;0.094090012;0.006117223;5456.99672;3.690623;1218.837509;1358.875474
15;9.5;10.3;25;12761.34635;12.772921;2112.524488;1.261619187;0.09408909;0.006116996;5456.473795;3.688106;1220.651313;1359.80858
15;9.5;10.4;25;12752.6821;12.772088;2113.452463;1.261424237;0.09408836;0.006116082;5458.826191;6.327866;1220.171176;1359.55319
15;9.5;10.4;26.5;12753.51394;12.772399;2113.666546;1.2614676;0.094089282;0.006116309;5459.340742;6.332006;1218.358058;1358.621902
15;9.5;10.4;28;12754.40104;12.772733;2113.89111;1.261518232;0.094090263;0.00611657;5459.86381;6.338377;1216.484934;1357.687403
15;9.5;10.4;29.79;12755.52288;12.773137;2114.168361;1.261575733;0.094091471;0.00611687;5460.520701;6.348462;1214.127587;1356.484716
15;9.5;10.4;31;12754.81116;12.773304;2114.345474;1.261574063;0.09409216;0.006116884;5461.046307;6.355453;1212.375481;1355.392113
15;9.5;10.4;33.5;12753.4942;12.773687;2114.734531;1.261576937;0.094093685;0.006116944;5462.177709;6.374474;1208.593737;1353.063984
15;9.5;10.5;33.5;12744.88225;12.77295;2115.754542;1.261387344;0.094092978;0.006116056;5464.537858;9.021049;1208.124256;1353.016467
15;9.5;10.5;31;12746.1982;12.77257;2115.365896;1.261384509;0.094091454;0.006115996;5463.423323;8.999297;1211.904611;1355.340677
15;9.5;10.5;29.79;12746.90955;12.772404;2115.189013;1.261386202;0.094090764;0.006115982;5462.905443;8.990976;1213.656082;1356.431571
15;9.5;10.5;28;12745.78725;12.772001;2114.911917;1.26132873;0.094089556;0.006115682;5462.260289;8.978972;1216.012531;1357.631455
15;9.5;10.5;26.5;12744.90446;12.771679;2114.689698;1.261283171;0.094088595;0.006115444;5461.739034;8.971172;1217.895773;1358.593123
15;9.5;10.5;25;12744.07244;12.771369;2114.4758;1.261239825;0.094087673;0.006115218;5461.233648;8.965413;1219.708205;1359.522353
