Mach, Climb Angle
   0.300841,    0.535698
   0.303863,    0.591650
   0.306885,    0.635964
   0.309906,    0.659501
   0.312928,    0.684585
   0.315950,    0.696012
   0.318972,    0.707771
   0.321994,    0.718948
   0.325015,    0.722865
   0.328037,    0.727519
   0.331059,    0.732418
   0.334081,    0.732708
   0.337103,    0.730870
   0.340124,    0.730039
   0.343146,    0.729385
   0.346168,    0.724320
   0.349190,    0.718062
   0.352212,    0.712231
   0.355233,    0.706837
   0.358255,    0.699358
   0.361277,    0.689542
   0.364299,    0.679810
   0.367321,    0.670538
   0.370343,    0.661364
   0.373364,    0.649252
   0.376386,    0.635738
   0.379408,    0.622343
   0.382430,    0.609086
   0.385452,    0.595876
   0.388473,    0.581799
   0.391495,    0.564563
   0.394517,    0.547285
   0.397539,    0.530015
   0.400561,    0.512760
   0.403582,    0.495519
   0.406604,    0.478205
   0.409626,    0.455525
   0.412648,    0.432613
   0.415670,    0.409673
   0.418691,    0.386705
   0.421713,    0.363530
   0.424735,    0.340300
   0.427757,    0.317043
   0.430779,    0.289522
   0.433801,    0.259758
   0.436822,    0.229808
   0.439844,    0.199786
   0.442866,    0.169690
   0.445888,    0.139522
   0.448910,    0.109166
   0.451931,    0.078712
   0.454953,    0.048107
   0.457975,    0.012266
   0.460997,   -0.023715
   0.464019,   -0.059877
   0.467040,   -0.096147
   0.470062,   -0.132526
   0.473084,   -0.169013
   0.476106,   -0.205663
   0.479128,   -0.242437
   0.482149,   -0.279320
   0.485171,   -0.316311
   0.488193,   -0.356566
   0.491215,   -0.399763
   0.494237,   -0.443106
   0.497258,   -0.486595
   0.500280,   -0.530231
   0.503302,   -0.574013
   0.506324,   -0.617942
   0.509346,   -0.662017
   0.512368,   -0.706238
   0.515389,   -0.750598
   0.518411,   -0.795079
   0.521433,   -0.839706
   0.524455,   -0.884479
   0.527477,   -0.931714
   0.530498,   -0.981905
   0.533520,   -1.032250
   0.536542,   -1.082772
   0.539564,   -1.133471
   0.542586,   -1.184331
   0.545607,   -1.235281
   0.548629,   -1.286408
   0.551651,   -1.337712
   0.554673,   -1.389194
   0.557695,   -1.440765
   0.560716,   -1.492464
   0.563738,   -1.544339
   0.566760,   -1.596392
   0.569782,   -1.648603
   0.572804,   -1.700839
   0.575826,   -1.753253
   0.578847,   -1.808188
   0.581869,   -1.865790
   0.584891,   -1.923474
   0.587913,   -1.981276
   0.590935,   -2.039283
   0.593956,   -2.097493
   0.596978,   -2.155891
   0.600000,   -2.214268
