Speed (CAS), Efficiency
 136.417471,   13.746525
 137.483263,   13.946471
 138.549055,   14.153945
 139.614847,   14.292576
 140.680639,   14.419781
 141.746431,   14.550265
 142.812224,   14.655511
 143.878016,   14.751250
 144.943808,   14.848975
 146.009600,   14.948738
 147.075392,   15.027478
 148.141184,   15.103737
 149.206977,   15.181333
 150.272769,   15.260295
 151.338561,   15.333595
 152.404353,   15.392810
 153.470145,   15.452904
 154.535937,   15.513892
 155.601730,   15.575791
 156.667522,   15.635766
 157.733314,   15.680332
 158.799106,   15.725457
 159.864898,   15.771150
 160.930690,   15.817417
 161.996483,   15.864266
 163.062275,   15.904728
 164.128067,   15.937122
 165.193859,   15.969860
 166.259651,   16.002946
 167.325443,   16.036383
 168.391236,   16.070175
 169.457028,   16.102975
 170.522820,   16.122135
 171.588612,   16.141461
 172.654404,   16.160954
 173.720197,   16.180615
 174.785989,   16.200446
 175.851781,   16.220447
 176.917573,   16.240620
 177.983365,   16.248629
 179.049157,   16.254740
 180.114950,   16.260893
 181.180742,   16.267087
 182.246534,   16.273322
 183.312326,   16.279598
 184.378118,   16.285916
 185.443910,   16.292276
 186.509703,   16.287894
 187.575495,   16.275232
 188.641287,   16.262518
 189.707079,   16.249752
 190.772871,   16.236935
 191.838663,   16.224066
 192.904456,   16.211145
 193.970248,   16.198174
 195.036040,   16.185153
 196.101832,   16.172081
 197.167624,   16.139351
 198.233416,   16.104369
 199.299209,   16.069350
 200.365001,   16.034297
 201.430793,   15.999211
 202.496585,   15.964093
 203.562377,   15.928945
 204.628169,   15.893768
 205.693962,   15.858564
 206.759754,   15.823333
 207.825546,   15.788078
 208.891338,   15.745402
 209.957130,   15.693095
 211.022922,   15.640872
 212.088715,   15.588733
 213.154507,   15.536681
 214.220299,   15.484716
 215.286091,   15.432842
 216.351883,   15.381059
 217.417675,   15.329369
 218.483468,   15.277775
 219.549260,   15.226276
 220.615052,   15.174875
 221.680844,   15.123574
 222.746636,   15.072374
 223.812428,   15.011796
 224.878221,   14.943366
 225.944013,   14.875237
 227.009805,   14.807408
 228.075597,   14.739880
 229.141389,   14.672654
 230.207181,   14.605728
 231.272974,   14.539104
 232.338766,   14.472782
 233.404558,   14.406761
 234.470350,   14.341041
 235.536142,   14.275624
 236.601934,   14.210507
 237.667727,   14.145692
 238.733519,   14.081178
 239.799311,   14.016966
 240.865103,   13.953054
 241.930895,   13.886785
