Speed (TAS), Efficiency
  77.052659,   13.746525
  78.291951,   14.166357
  79.531243,   14.434916
  80.770535,   14.672216
  82.009827,   14.872196
  83.249119,   15.049706
  84.488411,   15.208964
  85.727703,   15.357802
  86.966995,   15.481409
  88.206287,   15.608840
  89.445579,   15.706732
  90.684872,   15.800935
  91.924164,   15.895201
  93.163456,   15.962053
  94.402748,   16.030377
  95.642040,   16.100203
  96.881332,   16.140267
  98.120624,   16.180559
  99.359916,   16.221568
 100.599208,   16.249326
 101.838500,   16.261962
 103.077792,   16.274773
 104.317084,   16.287759
 105.556376,   16.283480
 106.795669,   16.257320
 108.034961,   16.230939
 109.274253,   16.204342
 110.513545,   16.177529
 111.752837,   16.116885
 112.992129,   16.044782
 114.231421,   15.972537
 115.470713,   15.900162
 116.710005,   15.827670
 117.949297,   15.748773
 119.188589,   15.641171
 120.427881,   15.533929
 121.667173,   15.427060
 122.906466,   15.320580
 124.145758,   15.214503
 125.385050,   15.108842
 126.624342,   14.988072
 127.863634,   14.847740
 129.102926,   14.708683
 130.342218,   14.570903
 131.581510,   14.434400
 132.820802,   14.299174
 134.060094,   14.165227
 135.299386,   14.032556
 136.538678,   13.900914
 137.777970,   13.744292
 139.017262,   13.589792
 140.256555,   13.437389
 141.495847,   13.287058
 142.735139,   13.138775
 143.974431,   12.992515
 145.213723,   12.848253
 146.453015,   12.705963
 147.692307,   12.565620
 148.931599,   12.427200
 150.170891,   12.288916
 151.410183,   12.134997
 152.649475,   11.983667
 153.888767,   11.834877
 155.128059,   11.688578
 156.367352,   11.544720
 157.606644,   11.403257
 158.845936,   11.264143
 160.085228,   11.127332
 161.324520,   10.992779
 162.563812,   10.860440
 163.803104,   10.730274
 165.042396,   10.602236
 166.281688,   10.476288
 167.520980,   10.352387
 168.760272,   10.228875
 169.999564,   10.096731
 171.238856,    9.967027
 172.478148,    9.839707
 173.717441,    9.714715
 174.956733,    9.591998
 176.196025,    9.471502
 177.435317,    9.353177
 178.674609,    9.236973
 179.913901,    9.122842
 181.153193,    9.010737
 182.392485,    8.900611
 183.631777,    8.792422
 184.871069,    8.686124
 186.110361,    8.581676
 187.349653,    8.479038
 188.588945,    8.378168
 189.828238,    8.279029
 191.067530,    8.181581
 192.306822,    8.085789
 193.546114,    7.991616
 194.785406,    7.899027
 196.024698,    7.807988
 197.263990,    7.714435
 198.503282,    7.621469
 199.742574,    7.530155
