Speed (CAS), Rate of Climb
 138.510956,  765.004525
 140.683907,  790.745901
 142.856859,  803.721672
 145.029811,  814.323108
 147.202763,  822.943494
 149.375714,  829.424910
 151.548666,  834.110731
 153.721618,  837.583410
 155.894570,  838.794068
 158.067522,  839.823700
 160.240473,  838.291746
 162.413425,  836.038393
 164.586377,  833.478927
 166.759329,  830.466192
 168.932280,  827.139926
 171.105232,  823.502712
 173.278184,  817.270482
 175.451136,  810.607877
 177.624087,  803.551242
 179.797039,  795.054540
 181.969991,  784.949077
 184.142943,  774.371165
 186.315894,  765.084328
 188.488846,  754.425021
 190.661798,  741.563680
 192.834750,  728.173746
 195.007701,  714.254377
 197.180653,  699.804726
 199.353605,  681.982674
 201.526557,  662.562849
 203.699509,  642.481986
 205.872460,  623.195523
 208.045412,  604.501985
 210.218364,  584.608556
 212.391316,  561.339633
 214.564267,  537.350852
 216.737219,  512.638870
 218.910171,  487.200346
 221.083123,  461.031938
 223.256074,  434.130306
 225.429026,  405.209717
 227.601978,  374.317999
 229.774930,  342.594497
 231.947881,  310.034717
 234.120833,  276.634164
 236.293785,  242.388342
 238.466737,  207.292757
 240.639688,  171.342913
 242.812640,  134.500021
 244.985592,   93.046402
 247.158544,   51.449656
 249.331495,    8.891844
 251.504447,  -34.632455
 253.677399,  -79.128663
 255.850351, -124.602200
 258.023303, -171.058488
 260.196254, -218.502946
 262.369206, -266.940996
 264.542158, -316.378059
 266.715110, -367.305390
 268.888061, -422.850397
 271.061013, -479.509955
 273.233965, -537.290273
 275.406917, -596.197559
 277.579868, -656.238022
 279.752820, -717.417869
 281.925772, -779.743308
 284.098724, -843.220549
 286.271675, -907.725885
 288.444627, -973.259304
 290.617579, -1039.959107
 292.790531, -1107.831504
 294.963482, -1176.882702
 297.136434, -1247.118910
 299.309386, -1319.060499
 301.482338, -1395.708663
 303.655290, -1473.648689
 305.828241, -1552.815891
 308.001193, -1633.047773
 310.174145, -1714.587621
 312.347097, -1797.442287
 314.520048, -1881.618624
 316.693000, -1967.123482
 318.865952, -2053.963712
 321.038904, -2142.146167
 323.211855, -2231.677697
 325.384807, -2322.565155
 327.557759, -2414.704762
 329.730711, -2508.208843
 331.903662, -2603.087874
 334.076614, -2699.348706
 336.249566, -2796.998190
 338.422518, -2896.043178
 340.595469, -2996.490520
 342.768421, -3098.347070
 344.941373, -3201.619678
 347.114325, -3306.206455
 349.287276, -3414.804992
 351.460228, -3525.600337
 353.633180, -3637.900602
