Speed, Powers
 140.250079, 3638530.533182
 140.621712, 3643722.056012
 140.993344, 3648878.252661
 141.364976, 3653999.029770
 141.736609, 3659084.293979
 142.108241, 3664610.074724
 142.479873, 3671105.559077
 142.851506, 3677576.848694
 143.223138, 3684023.880467
 143.594770, 3690446.591288
 143.966403, 3697377.288097
 144.338035, 3704886.298970
 144.709667, 3712379.568233
 145.081300, 3719857.055356
 145.452932, 3727318.719808
 145.824565, 3735435.564613
 146.196197, 3744421.531346
 146.567829, 3753403.422497
 146.939462, 3762381.227703
 147.311094, 3771354.936606
 147.682726, 3780448.287294
 148.054359, 3790044.826204
 148.425991, 3799641.993392
 148.797623, 3809239.790434
 149.169256, 3818838.218908
 149.540888, 3828437.280390
 149.912520, 3838490.193756
 150.284153, 3848700.173912
 150.655785, 3858915.311790
 151.027417, 3869135.620147
 151.399050, 3879361.111735
 151.770682, 3889635.522793
 152.142315, 3900482.170718
 152.513947, 3911338.520406
 152.885579, 3922204.595555
 153.257212, 3933080.419864
 153.628844, 3943966.017030
 154.000476, 3954963.881407
 154.372109, 3966546.937689
 154.743741, 3978144.737507
 155.115373, 3989757.316354
 155.487006, 4001384.709723
 155.858638, 4013026.953108
 156.230270, 4024684.082002
 156.601903, 4037036.617017
 156.973535, 4049429.807362
 157.345167, 4061842.999796
 157.716800, 4074276.241672
 158.088432, 4086729.580346
 158.460064, 4099203.063171
 158.831697, 4112087.534198
 159.203329, 4125373.711527
 159.574962, 4138685.583128
 159.946594, 4152023.208979
 160.318226, 4165386.649059
 160.689859, 4178775.963347
 161.061491, 4192191.211821
 161.433123, 4206055.275936
 161.804756, 4220094.475646
 162.176388, 4234163.727927
 162.548020, 4248263.101802
 162.919653, 4262392.666297
 163.291285, 4276552.490435
 163.662917, 4290742.643243
 164.034550, 4305346.855346
 164.406182, 4320186.184891
 164.777814, 4335060.038348
 165.149447, 4349968.493756
 165.521079, 4364911.629155
 165.892711, 4379889.522585
 166.264344, 4394902.252084
 166.635976, 4410061.130708
 167.007609, 4425688.040237
 167.379241, 4441353.655767
 167.750873, 4457058.063428
 168.122506, 4472801.349350
 168.494138, 4488583.599664
 168.865770, 4504404.900499
 169.237403, 4520265.337987
 169.609035, 4536365.725033
 169.980667, 4552855.200388
 170.352300, 4569387.682599
 170.723932, 4585963.265693
 171.095564, 4602582.043697
 171.467197, 4619244.110638
 171.838829, 4635949.560542
 172.210461, 4652698.487437
 172.582094, 4669551.149580
 172.953726, 4686965.232435
 173.325359, 4704426.802928
 173.696991, 4721935.963097
 174.068623, 4739492.814981
 174.440256, 4757097.460618
 174.811888, 4774750.002047
 175.183520, 4792450.541307
 175.555153, 4810199.180436
 175.926785, 4828241.428251
 176.298417, 4846733.424595
 176.670050, 4865277.918594
 177.041682, 4883875.020911
