Ground Roll Distance, Horizontal Forces
   0.000000, 41542.810118
   0.000000, 41338.480856
   0.000000, 39938.906993
   0.000000, 39665.872260
   0.000000, 39395.075907
   0.000000, 39126.494967
   0.000000, 38860.106765
   0.000000, 38841.950203
   0.000000, 38827.787046
   0.000000, 38815.772754
   0.000000, 38809.208285
   0.000000, 38804.758982
   0.000000, 38803.121613
   0.000000, 38802.857718
   0.000000, 38802.593520
   0.000000, 38799.951082
   0.000000, 38773.481572
   0.000000, 38504.226719
   0.000000, 37185.702532
   0.000000, 35660.531077
   0.000000, 33980.183637
   0.000000, 33059.212410
   0.000000, 32656.304459
   0.000000, 32254.751848
   0.000000, 30384.124694
   0.000000, 28317.317092
   0.000000, 26140.715732
   0.000000, 23881.618173
   0.000000, 21567.582902
   0.000000, 19228.723013
   0.000000, 16896.680143
   0.000000, 14603.492993
   0.000000, 12380.653547
   0.000000, 11291.161700
   0.000000, 11133.605162
   0.000000, 10962.773385
   0.000000, 9271.857401
   0.000000, 8672.732815
   0.000000, 8298.823803
   0.000000, 8159.107640
   0.000000, 8011.603982
   0.000000, 6570.858340
   0.000000, 5919.094303
   0.000000, 5512.445445
   0.000000, 5086.461278
   0.000000, 4965.792997
   0.000000, 4860.333835
   0.000000, 4765.343601
   0.000000, 3851.794559
   0.000000, 2398.288303
   0.000000, 1935.027235
   0.000000, 1635.332828
   0.000000, 1374.290084
   0.000000, 1280.286556
   0.000000, 1239.820685
   0.000000, 1106.556344
   0.000000,  992.430605
   0.000000,  238.793640
   0.000000,  123.097491
   0.000000,   74.930714
   0.000000,   41.622510
   0.000000,   19.174257
   0.000000,    5.892027
   0.000000,    0.355752
   0.000000,    0.027487
   0.000000,    0.002720
   0.000000,    0.000003
