alpha body, CM
  -4.000000,   -0.132378
  -3.517241,   -0.119007
  -3.034483,   -0.105641
  -2.551724,   -0.092278
  -2.068966,   -0.078919
  -1.586207,   -0.065562
  -1.103448,   -0.052209
  -0.620690,   -0.038856
  -0.137931,   -0.025505
   0.344828,   -0.012152
   0.827586,    0.001202
   1.310345,    0.014558
   1.793103,    0.027919
   2.275862,    0.041286
   2.758621,    0.054660
   3.241379,    0.068043
   3.724138,    0.081437
   4.206897,    0.094843
   4.689655,    0.108264
   5.172414,    0.121701
   5.655172,    0.135157
   6.137931,    0.148635
   6.620690,    0.162135
   7.103448,    0.175662
   7.586207,    0.189217
   8.068966,    0.202803
   8.551724,    0.216423
   9.034483,    0.230080
   9.517241,    0.243777
  10.000000,    0.257518
