eta, Cl
   0.000000,    0.396412
   0.020408,    0.397817
   0.040816,    0.400529
   0.061224,    0.403149
   0.081633,    0.405666
   0.102041,    0.408069
   0.122449,    0.410354
   0.142857,    0.412513
   0.163265,    0.414542
   0.183673,    0.416436
   0.204082,    0.418190
   0.224490,    0.419800
   0.244898,    0.421261
   0.265306,    0.422568
   0.285714,    0.423716
   0.306122,    0.424697
   0.326531,    0.425506
   0.346939,    0.426135
   0.367347,    0.426576
   0.387755,    0.426820
   0.408163,    0.426856
   0.428571,    0.426672
   0.448980,    0.426256
   0.469388,    0.425593
   0.489796,    0.424667
   0.510204,    0.423455
   0.530612,    0.421938
   0.551020,    0.420093
   0.571429,    0.417894
   0.591837,    0.415310
   0.612245,    0.412307
   0.632653,    0.408844
   0.653061,    0.404876
   0.673469,    0.400349
   0.693878,    0.395203
   0.714286,    0.389365
   0.734694,    0.382750
   0.755102,    0.375257
   0.775510,    0.366766
   0.795918,    0.357128
   0.816327,    0.346162
   0.836735,    0.333638
   0.857143,    0.319260
   0.877551,    0.302632
   0.897959,    0.283209
   0.918367,    0.260181
   0.938776,    0.232256
   0.959184,    0.197053
   0.979592,    0.148921
   1.000000,    0.000000
