alpha, CM
  -4.000000,   -0.004497
  -3.517241,   -0.004513
  -3.034483,   -0.004529
  -2.551724,   -0.004545
  -2.068966,   -0.004561
  -1.586207,   -0.004577
  -1.103448,   -0.004593
  -0.620690,   -0.004609
  -0.137931,   -0.004624
   0.344828,   -0.004640
   0.827586,   -0.004656
   1.310345,   -0.004671
   1.793103,   -0.004687
   2.275862,   -0.004702
   2.758621,   -0.004717
   3.241379,   -0.004733
   3.724138,   -0.004748
   4.206897,   -0.004763
   4.689655,   -0.004778
   5.172414,   -0.004794
   5.655172,   -0.004809
   6.137931,   -0.004824
   6.620690,   -0.004839
   7.103448,   -0.004854
   7.586207,   -0.004869
   8.068966,   -0.004886
   8.551724,   -0.004911
   9.034483,   -0.004937
   9.517241,   -0.004963
  10.000000,   -0.004991
