alpha_b, CD
  -4.000000,    0.001013
  -3.517241,    0.000990
  -3.034483,    0.000968
  -2.551724,    0.000947
  -2.068966,    0.000927
  -1.586207,    0.000908
  -1.103448,    0.000891
  -0.620690,    0.000875
  -0.137931,    0.000859
   0.344828,    0.000845
   0.827586,    0.000832
   1.310345,    0.000821
   1.793103,    0.000810
   2.275862,    0.000800
   2.758621,    0.000792
   3.241379,    0.000785
   3.724138,    0.000779
   4.206897,    0.000774
   4.689655,    0.000770
   5.172414,    0.000767
   5.655172,    0.000766
   6.137931,    0.000765
   6.620690,    0.000766
   7.103448,    0.000768
   7.586207,    0.000771
   8.068966,    0.000775
   8.551724,    0.000785
   9.034483,    0.000799
   9.517241,    0.000816
  10.000000,    0.000839
