eta, additional load
   0.000000, 37980.638206
   0.020408, 37699.686145
   0.040816, 37669.156590
   0.061224, 37610.922229
   0.081633, 37523.532405
   0.102041, 37406.944325
   0.122449, 37261.837799
   0.142857, 37089.291659
   0.163265, 36890.604302
   0.183673, 36667.194417
   0.204082, 36420.554968
   0.224490, 36152.249608
   0.244898, 35863.954770
   0.265306, 35557.579953
   0.285714, 35229.573932
   0.306122, 34888.532320
   0.326531, 34558.756848
   0.346939, 34204.630232
   0.367347, 33837.930260
   0.387755, 33458.290830
   0.408163, 33065.592010
   0.428571, 32659.805451
   0.448980, 32240.925595
   0.469388, 31808.931139
   0.489796, 31363.759637
   0.510204, 30905.189557
   0.530612, 30433.000152
   0.551020, 29946.979051
   0.571429, 29446.702812
   0.591837, 28931.605887
   0.612245, 28400.950803
   0.632653, 27853.790406
   0.653061, 27288.919294
   0.673469, 26704.810414
   0.693878, 26099.531255
   0.714286, 25470.631540
   0.734694, 24814.990597
   0.755102, 24128.606553
   0.775510, 23406.299925
   0.795918, 22641.288072
   0.816327, 21824.559286
   0.836735, 20943.925256
   0.857143, 19982.535488
   0.877551, 18916.443866
   0.897959, 17710.389492
   0.918367, 16309.892195
   0.938776, 14624.671458
   0.959184, 12486.936447
   0.979592, 9504.305669
   1.000000,    0.000000
