eta, Cd
   0.000000,  432.401947
   0.020408,  426.812405
   0.040816,  420.975231
   0.061224,  414.880425
   0.081633,  408.643506
   0.102041,  402.314316
   0.122449,  395.921970
   0.142857,  389.486058
   0.163265,  383.020630
   0.183673,  376.536052
   0.204082,  370.040100
   0.224490,  363.538680
   0.244898,  357.068286
   0.265306,  350.656934
   0.285714,  344.227325
   0.306122,  337.526277
   0.326531,  330.088291
   0.346939,  322.380981
   0.367347,  314.743026
   0.387755,  307.171062
   0.408163,  299.662419
   0.428571,  292.214923
   0.448980,  284.828671
   0.469388,  277.590936
   0.489796,  270.427075
   0.510204,  263.323645
   0.530612,  256.283242
   0.551020,  249.315624
   0.571429,  242.416111
   0.591837,  235.583383
   0.612245,  228.816721
   0.632653,  222.115678
   0.653061,  215.479987
   0.673469,  208.909519
   0.693878,  202.404271
   0.714286,  195.964375
   0.734694,  189.590132
   0.755102,  183.282092
   0.775510,  177.041240
   0.795918,  170.869348
   0.816327,  164.769739
   0.836735,  158.879330
   0.857143,  153.443229
   0.877551,  148.199489
   0.897959,  143.241600
   0.918367,  138.794445
   0.938776,  135.527394
   0.959184,  137.152604
   0.979592,  174.891455
   1.000000, -138.339869
