Speed (CAS), Climb Angle
  63.830699,    6.508972
  65.059110,    6.522664
  66.287521,    6.529215
  67.515932,    6.528386
  68.744344,    6.521448
  69.972755,    6.507824
  71.201166,    6.488804
  72.429577,    6.464508
  73.657988,    6.435220
  74.886399,    6.401875
  76.114810,    6.363816
  77.343221,    6.321420
  78.571633,    6.275346
  79.800044,    6.226320
  81.028455,    6.173662
  82.256866,    6.117672
  83.485277,    6.059967
  84.713688,    6.000055
  85.942099,    5.936204
  87.170511,    5.870066
  88.398922,    5.804254
  89.627333,    5.734688
  90.855744,    5.663660
  92.084155,    5.590385
  93.312566,    5.517479
  94.540977,    5.442919
  95.769388,    5.365433
  96.997800,    5.288314
  98.226211,    5.210681
  99.454622,    5.131770
 100.683033,    5.050810
 101.911444,    4.970468
 103.139855,    4.890876
 104.368266,    4.807864
 105.596677,    4.724662
 106.825089,    4.642718
 108.053500,    4.559115
 109.281911,    4.475280
 110.510322,    4.389490
 111.738733,    4.304870
 112.967144,    4.219978
 114.195555,    4.133177
 115.423966,    4.045562
 116.652378,    3.959213
 117.880789,    3.872556
 119.109200,    3.782492
 120.337611,    3.693585
 121.566022,    3.605060
 122.794433,    3.516194
 124.022844,    3.423922
 125.251255,    3.333091
 126.479667,    3.241976
 127.708078,    3.150488
 128.936489,    3.057550
 130.164900,    2.963863
 131.393311,    2.869775
 132.621722,    2.775284
 133.850133,    2.680957
 135.078545,    2.586033
 136.306956,    2.488685
 137.535367,    2.390907
 138.763778,    2.293439
 139.992189,    2.195814
 141.220600,    2.097759
 142.449011,    1.998587
 143.677422,    1.897807
 144.905834,    1.796584
 146.134245,    1.694908
 147.362656,    1.592946
 148.591067,    1.491037
 149.819478,    1.388675
 151.047889,    1.285604
 152.276300,    1.180054
 153.504711,    1.074278
 154.733123,    0.968027
 155.961534,    0.861300
 157.189945,    0.754357
 158.418356,    0.647017
 159.646767,    0.539201
 160.875178,    0.430912
 162.103589,    0.321301
 163.332000,    0.209850
 164.560412,    0.097903
 165.788823,   -0.014539
 167.017234,   -0.127474
 168.245645,   -0.240907
 169.474056,   -0.354837
 170.702467,   -0.469355
 171.930878,   -0.584445
 173.159289,   -0.700035
 174.387701,   -0.816124
 175.616112,   -0.934323
 176.844523,   -1.053939
 178.072934,   -1.174072
 179.301345,   -1.294753
 180.529756,   -1.416419
 181.758167,   -1.538604
 182.986579,   -1.661309
 184.214990,   -1.784746
 185.443401,   -1.909156
