Speed, Forces
  65.254355, 24374.943581
  66.510164, 23798.611697
  67.765973, 23263.479738
  69.021782, 22771.504774
  70.277591, 22315.272069
  71.533400, 21899.847049
  72.789210, 21516.296558
  74.045019, 21163.620337
  75.300828, 20840.725602
  76.556637, 20546.427033
  77.812446, 20279.723735
  79.068255, 20038.414465
  80.324064, 19821.867175
  81.579874, 19628.249468
  82.835683, 19455.913369
  84.091492, 19303.118375
  85.347301, 19168.031450
  86.603110, 19050.522322
  87.858919, 18956.113150
  89.114728, 18875.147950
  90.370538, 18806.143278
  91.626347, 18761.025545
  92.882156, 18724.517078
  94.137965, 18703.928300
  95.393774, 18697.619656
  96.649583, 18701.054579
  97.905392, 18721.698331
  99.161202, 18749.232621
 100.417011, 18793.303749
 101.672820, 18844.920540
 102.928629, 18908.616431
 104.184438, 18984.206329
 105.440247, 19063.446775
 106.696056, 19162.807852
 107.951866, 19263.345328
 109.207675, 19376.072852
 110.463484, 19500.331364
 111.719293, 19626.010589
 112.975102, 19766.556082
 114.230911, 19915.782825
 115.486720, 20066.659174
 116.742530, 20228.798342
 117.998339, 20402.925314
 119.254148, 20578.915365
 120.509957, 20756.768493
 121.765766, 20954.689132
 123.021575, 21155.570664
 124.277384, 21358.513324
 125.533194, 21563.517110
 126.789003, 21788.583796
 128.044812, 22016.239549
 129.300621, 22246.139056
 130.556430, 22478.282316
 131.812239, 22720.934316
 133.068048, 22975.198887
 134.323858, 23231.874418
 135.579667, 23490.960907
 136.835476, 23752.458356
 138.091285, 24021.235101
 139.347094, 24304.320769
 140.602903, 24589.969180
 141.858712, 24878.180334
 143.114522, 25168.954230
 144.370331, 25462.290868
 145.626140, 25762.242935
 146.881949, 26076.586002
 148.137758, 26393.628173
 149.393567, 26713.369448
 150.649376, 27035.809828
 151.905186, 27360.949311
 153.160995, 27688.787899
 154.416804, 28020.821987
 155.672613, 28368.990245
 156.928422, 28719.978547
 158.184231, 29073.786893
 159.440040, 29430.415283
 160.695850, 29789.863716
 161.951659, 30152.132194
 163.207468, 30517.220715
 164.463277, 30885.129281
 165.719086, 31261.813498
 166.974895, 31649.339263
 168.230704, 32039.790589
 169.486514, 32433.167477
 170.742323, 32829.469927
 171.998132, 33228.697938
 173.253941, 33630.851512
 174.509750, 34035.930647
 175.765559, 34443.935344
 177.021368, 34854.865602
 178.277178, 35268.721423
 179.532987, 35693.413248
 180.788796, 36126.045551
 182.044605, 36561.693513
 183.300414, 37000.357131
 184.556223, 37442.036408
 185.812032, 37886.731343
 187.067842, 38334.441935
 188.323651, 38785.168185
 189.579460, 39238.910094
