Speed, Power
 126.844318, 2200.548648
 129.285416, 2198.400898
 131.726513, 2198.473743
 134.167611, 2200.956255
 136.608709, 2205.749746
 139.049806, 2213.032527
 141.490904, 2222.383402
 143.932002, 2233.878673
 146.373099, 2247.914802
 148.814197, 2264.126438
 151.255295, 2282.476347
 153.696392, 2302.959408
 156.137490, 2325.550824
 158.578588, 2350.205309
 161.019686, 2377.209177
 163.460783, 2406.502320
 165.901881, 2437.804144
 168.342979, 2470.993357
 170.784076, 2506.160740
 173.225174, 2544.138910
 175.666272, 2583.757020
 178.107369, 2625.295940
 180.548467, 2669.648832
 182.989565, 2715.242032
 185.430662, 2763.901458
 187.871760, 2813.961871
 190.312858, 2866.730424
 192.753955, 2921.107148
 195.195053, 2978.258745
 197.636151, 3036.721115
 200.077249, 3098.510462
 202.518346, 3161.186377
 204.959444, 3227.404162
 207.400542, 3295.086094
 209.841639, 3364.746513
 212.282737, 3437.643506
 214.723835, 3511.708717
 217.164932, 3588.521362
 219.606030, 3668.117772
 222.047128, 3749.029839
 224.488225, 3832.536813
 226.929323, 3919.264953
 229.370421, 4007.455969
 231.811518, 4097.125800
 234.252616, 4191.260567
 236.693714, 4287.126772
 239.134811, 4384.619101
 241.575909, 4483.995817
 244.017007, 4587.893229
 246.458105, 4693.562319
 248.899202, 4801.021024
 251.340300, 4910.287279
 253.781398, 5023.450597
 256.222495, 5139.538953
 258.663593, 5257.579681
 261.104691, 5377.591595
 263.545788, 5499.593508
 265.986886, 5625.484110
 268.427984, 5754.665332
 270.869081, 5885.979592
 273.310179, 6019.446501
 275.751277, 6155.085668
 278.192374, 6292.916704
 280.633472, 6435.156167
 283.074570, 6580.576010
 285.515668, 6728.328642
 287.956765, 6878.434387
 290.397863, 7030.913570
 292.838961, 7185.786517
 295.280058, 7343.073553
 297.721156, 7505.014683
 300.162254, 7670.331925
 302.603351, 7838.201478
 305.044449, 8008.644301
 307.485547, 8181.681353
 309.926644, 8357.333595
 312.367742, 8535.621985
 314.808840, 8716.567483
 317.249937, 8900.948638
 319.691035, 9090.372112
 322.132133, 9282.587397
 324.573230, 9477.616005
 327.014328, 9675.479449
 329.455426, 9876.199243
 331.896524, 10079.796899
 334.337621, 10286.293929
 336.778719, 10495.711848
 339.219817, 10708.072167
 341.660914, 10923.396400
 344.102012, 11143.800357
 346.543110, 11368.242516
 348.984207, 11595.779653
 351.425305, 11826.433752
 353.866403, 12060.226800
 356.307500, 12297.180782
 358.748598, 12537.317683
 361.189696, 12780.659488
 363.630793, 13027.228184
 366.071891, 13277.045756
 368.512989, 13530.134188
