Speed, Power
  65.254355, 1581388.972126
  66.510164, 1577573.028818
  67.765973, 1575302.254971
  69.021782, 1574714.011234
  70.277591, 1575734.011469
  71.533400, 1578491.701457
  72.789210, 1582675.591525
  74.045019, 1588340.100771
  75.300828, 1595775.124758
  76.556637, 1604710.247145
  77.812446, 1615116.380867
  79.068255, 1626988.059246
  80.324064, 1640305.342116
  81.579874, 1655033.220886
  82.835683, 1671380.577462
  84.091492, 1689301.501769
  85.347301, 1708587.915977
  86.603110, 1729148.909395
  87.858919, 1751049.548558
  89.114728, 1774900.522744
  90.370538, 1799838.973995
  91.626347, 1826069.779720
  92.882156, 1854248.158809
  94.137965, 1883214.981854
  95.393774, 1914311.509310
  96.649583, 1946311.257027
  97.905392, 1980173.934457
  99.161202, 2015088.814225
 100.417011, 2051912.303909
 101.672820, 2089565.856427
 102.928629, 2129530.688469
 104.184438, 2170010.179230
 105.440247, 2212955.600528
 106.696056, 2256837.087239
 107.951866, 2302031.234515
 109.207675, 2349461.663808
 110.463484, 2397605.399483
 111.719293, 2447622.253111
 112.975102, 2499537.243793
 114.230911, 2552268.878541
 115.486720, 2606756.344406
 116.742530, 2663458.551604
 117.998339, 2721080.578656
 119.254148, 2779632.448242
 120.509957, 2841308.748474
 121.765766, 2904097.291482
 123.021575, 2967918.919498
 124.277384, 3032961.882249
 125.533194, 3101163.482585
 126.789003, 3170500.118113
 128.044812, 3240983.280085
 129.300621, 3312624.459755
 130.556430, 3386958.789650
 131.812239, 3463269.645278
 133.068048, 3540839.931136
 134.323858, 3619681.783520
 135.579667, 3699807.338727
 136.835476, 3782611.378745
 138.091285, 3867652.323886
 139.347094, 3954077.073304
 140.602903, 4041898.348847
 141.858712, 4131128.872361
 143.114522, 4221781.365694
 144.370331, 4315484.404511
 145.626140, 4411333.060276
 146.881949, 4508702.228863
 148.137758, 4607605.158176
 149.393567, 4708055.096118
 150.649376, 4810065.290591
 151.905186, 4913648.989501
 153.160995, 5020452.014078
 154.416804, 5129532.707241
 155.672613, 5240283.463538
 156.928422, 5352717.997432
 158.184231, 5466850.023390
 159.440040, 5582693.255876
 160.695850, 5700261.409354
 161.951659, 5819568.198290
 163.207468, 5941184.543356
 164.463277, 6066290.442163
 165.719086, 6193228.946483
 166.974895, 6322014.177847
 168.230704, 6452660.257787
 169.486514, 6585181.307834
 170.742323, 6719591.449522
 171.998132, 6855904.804381
 173.253941, 6994135.493943
 174.509750, 7134297.639741
 175.765559, 7276405.363306
 177.021368, 7422013.139562
 178.277178, 7570353.229827
 179.532987, 7720730.191596
 180.788796, 7873158.493972
 182.044605, 8027652.606060
 183.300414, 8184226.996964
 184.556223, 8342896.135789
 185.812032, 8503674.491640
 187.067842, 8666576.533620
 188.323651, 8831616.730835
 189.579460, 8998809.552389
