Mach, Altitude
   0.182826,    0.000000
   0.183914,  100.000000
   0.185011,  200.000000
   0.186117,  300.000000
   0.187233,  400.000000
   0.188357,  500.000000
   0.189491,  600.000000
   0.190634,  700.000000
   0.191787,  800.000000
   0.192949,  900.000000
   0.194121, 1000.000000
   0.195303, 1100.000000
   0.196495, 1200.000000
   0.197697, 1300.000000
   0.198909, 1400.000000
   0.200131, 1500.000000
   0.201363, 1600.000000
   0.202606, 1700.000000
   0.203860, 1800.000000
   0.205124, 1900.000000
   0.206399, 2000.000000
   0.207685, 2100.000000
   0.208982, 2200.000000
   0.210290, 2300.000000
   0.211610, 2400.000000
   0.212941, 2500.000000
   0.214283, 2600.000000
   0.215638, 2700.000000
   0.217003, 2800.000000
   0.218381, 2900.000000
   0.219771, 3000.000000
   0.221173, 3100.000000
   0.222588, 3200.000000
   0.224015, 3300.000000
   0.225454, 3400.000000
   0.226907, 3500.000000
   0.228372, 3600.000000
   0.229850, 3700.000000
   0.231342, 3800.000000
   0.232846, 3900.000000
   0.234365, 4000.000000
   0.235897, 4100.000000
   0.237442, 4200.000000
   0.239002, 4300.000000
   0.240576, 4400.000000
   0.242164, 4500.000000
   0.243767, 4600.000000
   0.245384, 4700.000000
   0.247016, 4800.000000
   0.248663, 4900.000000
   0.250325, 5000.000000
   0.252003, 5100.000000
   0.253696, 5200.000000
   0.255404, 5300.000000
   0.257129, 5400.000000
   0.258870, 5500.000000
   0.260626, 5600.000000
   0.262400, 5700.000000
   0.264190, 5800.000000
   0.265996, 5900.000000
   0.267820, 6000.000000
   0.269661, 6100.000000
   0.271520, 6200.000000
   0.273396, 6300.000000
   0.275290, 6400.000000
   0.277202, 6500.000000
   0.279133, 6600.000000
   0.281082, 6700.000000
   0.283050, 6800.000000
   0.285037, 6900.000000
   0.287043, 7000.000000
   0.289069, 7100.000000
   0.291114, 7200.000000
   0.293179, 7300.000000
   0.295265, 7400.000000
   0.297371, 7500.000000
   0.299497, 7600.000000
   0.301645, 7700.000000
   0.303814, 7800.000000
   0.306004, 7900.000000
   0.308217, 8000.000000
   0.310451, 8100.000000
   0.312708, 8200.000000
   0.314987, 8300.000000
   0.317289, 8400.000000
   0.324382, 8500.000000
   0.451598, 8600.000000
   0.456509, 8500.000000
   0.460802, 8400.000000
   0.464469, 8300.000000
   0.467503, 8200.000000
   0.469896, 8100.000000
   0.472333, 8000.000000
   0.474814, 7900.000000
   0.476641, 7800.000000
   0.477807, 7700.000000
   0.479707, 7600.000000
   0.480940, 7500.000000
   0.482206, 7400.000000
   0.482797, 7300.000000
   0.484124, 7200.000000
   0.484770, 7100.000000
   0.485443, 7000.000000
   0.486143, 6900.000000
   0.486150, 6800.000000
   0.486898, 6700.000000
   0.486951, 6600.000000
   0.487024, 6500.000000
   0.487843, 6400.000000
   0.487959, 6300.000000
   0.487366, 6200.000000
   0.487520, 6100.000000
   0.487694, 6000.000000
   0.487153, 5900.000000
   0.486627, 5800.000000
   0.486116, 5700.000000
   0.485621, 5600.000000
   0.485141, 5500.000000
   0.484675, 5400.000000
   0.484224, 5300.000000
   0.483788, 5200.000000
   0.483365, 5100.000000
   0.482957, 5000.000000
   0.482563, 4900.000000
   0.481428, 4800.000000
   0.481060, 4700.000000
   0.480705, 4600.000000
   0.479604, 4500.000000
   0.478514, 4400.000000
   0.478195, 4300.000000
   0.477125, 4200.000000
   0.476065, 4100.000000
   0.475015, 4000.000000
   0.473974, 3900.000000
   0.473711, 3800.000000
   0.472690, 3700.000000
   0.471678, 3600.000000
   0.470675, 3500.000000
   0.469680, 3400.000000
   0.468695, 3300.000000
   0.467718, 3200.000000
   0.466749, 3100.000000
   0.465789, 3000.000000
   0.464838, 2900.000000
   0.463894, 2800.000000
   0.462174, 2700.000000
   0.461245, 2600.000000
   0.460325, 2500.000000
   0.458623, 2400.000000
   0.457717, 2300.000000
   0.456819, 2200.000000
   0.455928, 2100.000000
   0.454251, 2000.000000
   0.453374, 1900.000000
   0.452504, 1800.000000
   0.451642, 1700.000000
   0.449988, 1600.000000
   0.449139, 1500.000000
   0.447495, 1400.000000
   0.445857, 1300.000000
   0.445026, 1200.000000
   0.443398, 1100.000000
   0.441774, 1000.000000
   0.440962,  900.000000
   0.439348,  800.000000
   0.437738,  700.000000
   0.436944,  600.000000
   0.435343,  500.000000
   0.433748,  400.000000
   0.432971,  300.000000
   0.431384,  200.000000
   0.429802,  100.000000
   0.429041,    0.000000
