Speed, Forces
  78.416548, 23815.754804
  79.376345, 23452.560921
  80.336142, 23111.515415
  81.295939, 22791.016716
  82.255735, 22489.626646
  83.215532, 22207.911461
  84.175329, 21943.218402
  85.135126, 21694.226937
  86.094923, 21459.673815
  87.054720, 21238.340736
  88.014516, 21029.041306
  88.974313, 20836.161062
  89.934110, 20654.808336
  90.893907, 20482.805425
  91.853704, 20322.048184
  92.813501, 20174.859444
  93.773297, 20034.420874
  94.733094, 19905.269407
  95.692891, 19786.631631
  96.652688, 19672.577202
  97.612485, 19574.179175
  98.572282, 19478.326771
  99.532078, 19395.525049
 100.491875, 19316.669344
 101.451672, 19248.997432
 102.411469, 19185.323419
 103.371266, 19132.782308
 104.331063, 19082.368311
 105.290859, 19044.923434
 106.250656, 19007.135660
 107.210453, 18983.322339
 108.170250, 18960.701969
 109.130047, 18945.738322
 110.089844, 18938.173750
 111.049640, 18930.542939
 112.009437, 18937.132517
 112.969234, 18944.539781
 113.929031, 18955.017556
 114.888828, 18977.274248
 115.848624, 18999.717655
 116.808421, 19026.007841
 117.768218, 19063.194061
 118.728015, 19100.684583
 119.687812, 19139.523178
 120.647609, 19191.602487
 121.607405, 19244.097761
 122.567202, 19297.009000
 123.526999, 19358.890045
 124.486796, 19426.294371
 125.446593, 19494.220398
 126.406390, 19562.668125
 127.366186, 19643.291582
 128.325983, 19726.077436
 129.285780, 19809.484799
 130.245577, 19893.513672
 131.205374, 19988.223933
 132.165171, 20086.376709
 133.124967, 20185.244879
 134.084764, 20284.828441
 135.044561, 20388.614326
 136.004358, 20502.048307
 136.964155, 20616.285638
 137.923952, 20731.326319
 138.883748, 20847.170350
 139.843545, 20967.379431
 140.803342, 21096.823165
 141.763139, 21227.152280
 142.722936, 21358.366776
 143.682733, 21490.466652
 144.642529, 21623.451909
 145.602326, 21765.882383
 146.562123, 21912.221618
 147.521920, 22059.522339
 148.481717, 22207.784544
 149.441514, 22357.008236
 150.401310, 22507.193413
 151.361107, 22663.849710
 152.320904, 22827.060172
 153.280701, 22991.302299
 154.240498, 23156.576089
 155.200295, 23322.881544
 156.160091, 23490.218662
 157.119888, 23658.587444
 158.079685, 23832.309260
 159.039482, 24013.355922
 159.999279, 24195.498500
 160.959075, 24378.736995
 161.918872, 24563.071405
 162.878669, 24748.501732
 163.838466, 24935.027975
 164.798263, 25122.650134
 165.758060, 25314.028811
 166.717856, 25513.944952
 167.677653, 25715.015334
 168.637450, 25917.239959
 169.597247, 26120.618826
 170.557044, 26325.151935
 171.516841, 26530.839287
 172.476637, 26737.680881
 173.436434, 26945.676717
