Speed (TAS), Efficiency
 140.718471,   13.456694
 142.702461,   13.695342
 144.686451,   13.925394
 146.670440,   14.146720
 148.654430,   14.359247
 150.638420,   14.562956
 152.622410,   14.757887
 154.606400,   14.944134
 156.590389,   15.121851
 158.574379,   15.291256
 160.558369,   15.452632
 162.542359,   15.605984
 164.526348,   15.747967
 166.510338,   15.882304
 168.494328,   16.009550
 170.478318,   16.129670
 172.462307,   16.237037
 174.446297,   16.338435
 176.430287,   16.433524
 178.414277,   16.515409
 180.398266,   16.593125
 182.382256,   16.660440
 184.366246,   16.720113
 186.350236,   16.773282
 188.334225,   16.815903
 190.318215,   16.854300
 192.302205,   16.881246
 194.286195,   16.904453
 196.270185,   16.917453
 198.254174,   16.925261
 200.238164,   16.926348
 202.222154,   16.918748
 204.206144,   16.910214
 206.190133,   16.887381
 208.174123,   16.864390
 210.158113,   16.833991
 212.142103,   16.796078
 214.126092,   16.757982
 216.110082,   16.709391
 218.094072,   16.656939
 220.078062,   16.604339
 222.062051,   16.541638
 224.046041,   16.475456
 226.030031,   16.409220
 228.014021,   16.336713
 229.998010,   16.257825
 231.982000,   16.179021
 233.965990,   16.100310
 235.949980,   16.010652
 237.933969,   15.920486
 239.917959,   15.830587
 241.901949,   15.740685
 243.885939,   15.640435
 245.869929,   15.540651
 247.853918,   15.441338
 249.837908,   15.342504
 251.821898,   15.237175
 253.805888,   15.129491
 255.789877,   15.022491
 257.773867,   14.916179
 259.757857,   14.810556
 261.741847,   14.697778
 263.725836,   14.584772
 265.709826,   14.472657
 267.693816,   14.361431
 269.677806,   14.251093
 271.661795,   14.138026
 273.645785,   14.021660
 275.629775,   13.906367
 277.613765,   13.792142
 279.597754,   13.678978
 281.581744,   13.566871
 283.565734,   13.453747
 285.549724,   13.336975
 287.533714,   13.221419
 289.517703,   13.107069
 291.501693,   12.993914
 293.485683,   12.881942
 295.469673,   12.771144
 297.453662,   12.660175
 299.437652,   12.545993
 301.421642,   12.433113
 303.405632,   12.321521
 305.389621,   12.211202
 307.373611,   12.102140
 309.357601,   11.994322
 311.341591,   11.887732
 313.325580,   11.782357
 315.309570,   11.673536
 317.293560,   11.565999
 319.277550,   11.459769
 321.261539,   11.354829
 323.245529,   11.251161
 325.229519,   11.148748
 327.213509,   11.047572
 329.197499,   10.947618
 331.181488,   10.848868
 333.165478,   10.750470
 335.149468,   10.650418
 337.133458,   10.551633
