Speed, Powers
  85.204707, 1981026.438282
  86.095937, 1973925.563449
  86.987166, 1967686.074988
  87.878396, 1962235.471134
  88.769625, 1957502.970318
  89.660855, 1953418.997987
  90.552084, 1949914.576282
  91.443314, 1947426.332872
  92.334544, 1945496.095594
  93.225773, 1943998.372618
  94.117003, 1943078.202692
  95.008232, 1943032.722179
  95.899462, 1943269.767104
  96.790691, 1944048.647300
  97.681921, 1945610.885625
  98.573151, 1947294.401853
  99.464380, 1949904.887536
 100.355610, 1952772.542894
 101.246839, 1956165.782304
 102.138069, 1960155.524620
 103.029298, 1964401.274676
 103.920528, 1969442.660646
 104.811757, 1974610.802639
 105.702987, 1980621.809805
 106.594217, 1986781.226786
 107.485446, 1993663.904576
 108.376676, 2000879.862288
 109.267905, 2008518.175474
 110.159135, 2016851.470109
 111.050364, 2025110.487573
 111.941594, 2034617.164980
 112.832824, 2043962.078310
 113.724053, 2054073.488844
 114.615283, 2064676.908332
 115.506512, 2075151.668903
 116.397742, 2086998.772909
 117.288971, 2098811.433397
 118.180201, 2110766.638282
 119.071431, 2123956.477034
 119.962660, 2137084.829010
 120.853890, 2150392.138275
 121.745119, 2164964.299979
 122.636349, 2179508.120627
 123.527578, 2194023.392751
 124.418808, 2209984.377655
 125.310038, 2226036.145992
 126.201267, 2242092.653754
 127.092497, 2258920.158787
 127.983726, 2276564.430789
 128.874956, 2294246.515503
 129.766185, 2311966.676243
 130.657415, 2330926.064309
 131.548645, 2350309.415238
 132.439874, 2369763.814704
 133.331104, 2389289.744054
 134.222333, 2410039.604596
 135.113563, 2431294.220607
 136.004792, 2452653.110950
 136.896022, 2474116.963434
 137.787252, 2496236.829712
 138.678481, 2519484.102694
 139.569711, 2542868.726915
 140.460940, 2566391.585075
 141.352170, 2590053.559873
 142.243399, 2614727.277655
 143.134629, 2640246.834755
 144.025859, 2665937.598270
 144.917088, 2691800.634219
 145.808318, 2717837.008623
 146.699547, 2744498.050256
 147.590777, 2772452.325069
 148.482006, 2800611.578363
 149.373236, 2828977.047902
 150.264465, 2857549.971454
 151.155695, 2886331.586785
 152.046925, 2916035.097797
 152.938154, 2946809.675010
 153.829384, 2977824.144021
 154.720613, 3009079.902772
 155.611843, 3040578.349206
 156.503072, 3072320.881263
 157.394302, 3104308.896887
 158.285532, 3138037.304311
 159.176761, 3172104.585075
 160.067991, 3206448.084448
 160.959220, 3241069.348976
 161.850450, 3275969.925205
 162.741679, 3311151.359681
 163.632909, 3346615.198950
 164.524139, 3383374.930014
 165.415368, 3420982.990169
 166.306598, 3458903.528466
 167.197827, 3497138.228482
 168.089057, 3535688.773796
 168.980286, 3574556.847988
 169.871516, 3613744.134635
 170.762746, 3653252.317315
 171.653975, 3693633.426853
 172.545205, 3735354.782974
 173.436434, 3777426.375524
