Time, Horizontal Forces
   0.000000, 24808.056188
   0.000000, 24807.937356
   0.000007, 24807.499164
   0.000098, 24805.898632
   0.000670, 24802.375368
   0.002934, 24796.140413
   0.007323, 24789.216724
   0.013691, 24782.289000
   0.022051, 24775.351439
   0.032365, 24768.432831
   0.044734, 24761.472539
   0.059144, 24754.494025
   0.075578, 24747.511100
   0.094044, 24740.522429
   0.114643, 24733.497138
   0.137402, 24726.437375
   0.162170, 24719.392732
   0.189476, 24712.226450
   0.218734, 24705.102314
   0.250286, 24697.936904
   0.284253, 24690.713141
   0.320278, 24683.511075
   0.358312, 24676.336057
   0.399214, 24669.035001
   0.442560, 24661.696969
   0.488313, 24654.333242
   0.536406, 24646.957720
   0.587626, 24639.459531
   0.641038, 24631.982751
   0.696889, 24624.492354
   0.755478, 24616.952519
   0.817958, 24609.229372
   0.882368, 24601.572491
   0.949970, 24593.832989
   1.020282, 24586.071937
   1.094149, 24578.203375
   1.171803, 24570.214783
   1.251923, 24562.247362
   1.333974, 24554.349872
   1.419749, 24546.351565
   1.510070, 24538.188491
   1.603495, 24529.999867
   1.699363, 24521.843675
   1.799709, 24513.551488
   1.902985, 24505.257379
   2.011288, 24496.800083
   2.121991, 24488.389851
   2.235010, 24480.029303
   2.353237, 24471.508984
   2.475822, 24462.900004
   2.603281, 24454.174342
   2.733701, 24445.466727
   2.867731, 24436.734441
   3.008282, 24427.796220
   3.151312, 24418.914867
   3.299152, 24409.946759
   3.450410, 24400.979524
   3.604102, 24392.069658
   3.762782, 24383.070429
   3.795548, 24381.236274
   3.874948, 24376.824651
   3.876450, 24376.741684
   3.877665, 24376.674541
   3.878084, 24376.651349
   3.878463, 24376.630441
   3.881221, 24376.478022
   3.893992, 24375.773013
   3.929442, 24373.822148
   4.028029, 24368.443261
   4.208702, 24358.756229
   4.385260, 24349.491595
   4.569052, 24340.046315
   4.757880, 24330.540946
   4.952132, 24320.960406
   5.149798, 24311.405511
   5.353679, 24301.743440
   5.561249, 24292.096780
   5.773450, 24282.422377
   5.990291, 24272.721449
   6.213401, 24262.924852
   6.441998, 24253.071252
   6.676652, 24243.140083
   6.918066, 24233.106577
   7.162085, 24223.144552
   7.410699, 24213.171282
   7.665157, 24203.138683
   7.929193, 24192.906471
   8.197229, 24182.695551
   8.471888, 24172.407649
   8.750839, 24162.131828
   9.039534, 24151.671778
   9.334786, 24141.149252
   9.632676, 24130.703760
   9.938180, 24120.161499
  10.247859, 24109.643043
  10.565606, 24099.018331
  10.890645, 24088.317708
  11.222384, 24077.563919
  11.561260, 24066.745620
  11.904372, 24055.956517
  12.257815, 24045.008013
  12.616547, 24034.060067
  12.983160, 24023.035437
  13.350167, 24012.157970
  13.728300, 24001.110231
  14.112577, 23990.042056
  14.505105, 23978.895048
  14.904600, 23967.708397
  15.312602, 23956.441686
  15.724272, 23945.229244
  15.728556, 23945.113362
  15.729849, 23945.078372
  15.730570, 23945.058863
  15.731225, 23945.041134
  15.737776, 23944.863846
  15.767232, 23944.067048
  15.870779, 23941.272209
  16.174231, 23933.135399
  16.605198, 23921.713370
  17.043397, 23910.255321
  17.486299, 23898.827656
  17.938770, 23887.306309
  18.401548, 23875.676658
  18.868889, 23864.084620
  19.344127, 23852.447871
  19.829204, 23840.721602
  20.319082, 23829.028909
  20.815447, 23817.329218
  21.318069, 23805.628285
  21.835047, 23793.741273
  22.361094, 23781.794511
  22.892351, 23769.876384
  23.432651, 23757.901624
  23.977864, 23745.962362
  24.538585, 23733.829633
  25.104121, 23721.737697
  25.679271, 23709.584557
  26.261956, 23697.415676
  26.856622, 23685.140543
  27.456416, 23672.902062
  28.068611, 23660.553258
  28.686738, 23648.226384
  29.318877, 23635.762466
  29.953682, 23623.386243
  30.601530, 23610.896059
  31.260957, 23598.323637
  31.927463, 23585.756261
  32.601050, 23573.193926
  33.289692, 23560.490365
  33.982139, 23547.854517
  34.683715, 23535.188830
  35.395317, 23522.478504
  35.539849, 23519.913360
  35.629995, 23518.316212
  35.690657, 23517.242636
  35.918605, 23513.217018
  35.922959, 23513.140244
  35.924775, 23513.108226
  35.926568, 23513.076573
  35.939630, 23512.846041
  35.999159, 23511.795937
  36.242109, 23507.519671
  36.854418, 23496.808384
  37.593283, 23484.006814
  38.349220, 23471.045457
  39.104736, 23458.224743
  39.874141, 23445.301482
  40.655084, 23432.317847
  41.446779, 23419.288739
  42.254405, 23406.131805
  43.066873, 23393.029009
  43.888516, 23379.910128
  44.721737, 23366.738031
  45.564363, 23353.548332
  46.414407, 23340.372416
  47.274222, 23327.174136
  48.153524, 23313.807373
  49.037235, 23300.503083
  49.932446, 23287.154462
  50.839176, 23273.762711
  51.759317, 23260.301701
  52.688883, 23246.831084
  53.622158, 23233.433024
  54.567492, 23219.987513
  55.524976, 23206.494786
  56.501698, 23192.857856
  57.483019, 23179.282470
  58.480824, 23165.604982
  59.492993, 23151.857049
  60.515044, 23138.100852
  61.541479, 23124.409851
  62.579337, 23110.689882
  63.626252, 23096.972781
  64.691228, 23083.142283
  64.734043, 23082.588813
  64.771736, 23082.101722
  64.800934, 23081.724517
  64.833410, 23081.305054
  64.861478, 23080.942625
  64.886084, 23080.624967
  64.887959, 23080.600768
  64.890088, 23080.573246
  64.892011, 23080.548383
  64.906935, 23080.355429
  64.992807, 23079.245660
  65.286583, 23075.454973
  66.012500, 23066.127208
  67.104211, 23052.201930
  68.201810, 23038.323402
  69.313096, 23024.393298
  70.437404, 23010.421358
  71.568049, 22996.490922
  72.711173, 22982.526441
  73.864558, 22968.555729
  75.038009, 22954.461899
  76.218620, 22940.401332
  77.415016, 22926.271989
  78.623101, 22912.123562
  79.842989, 22897.955430
  81.072699, 22883.791052
  82.315751, 22869.590488
  83.563161, 22855.456231
  84.834472, 22841.168161
  86.119865, 22826.839230
  87.411402, 22812.558072
  88.712041, 22798.291464
  90.027762, 22783.974463
  91.356882, 22769.626585
  92.696423, 22755.280560
  94.054656, 22740.849041
  95.422484, 22726.429778
  96.801155, 22712.009714
  98.194391, 22697.550619
  99.602269, 22683.052838
 101.023408, 22668.531535
 102.450777, 22654.058525
 102.741097, 22651.128304
 102.930219, 22649.221916
 103.061226, 22647.902469
 103.078231, 22647.731266
 103.103847, 22647.473401
 103.112894, 22647.382340
 103.115672, 22647.354379
 103.136802, 22647.141256
 103.157021, 22646.937354
 103.260008, 22645.899085
 103.752776, 22640.939049
 105.105936, 22627.384560
 106.564394, 22612.881919
 108.047219, 22598.248121
 109.549303, 22583.536171
 111.061859, 22568.833167
 112.588354, 22554.105807
 114.117774, 22539.459968
 115.666346, 22524.740394
 117.228220, 22510.003937
 118.800143, 22495.281554
 120.395895, 22480.445538
 122.000908, 22465.632561
 123.620338, 22450.795288
 125.255598, 22435.921683
 126.902868, 22421.047130
 128.562233, 22406.171137
 130.236708, 22391.267236
 131.926422, 22376.335118
 133.626618, 22361.417218
 135.344329, 22346.452419
 137.079166, 22331.445303
 138.818017, 22316.509235
 140.572859, 22301.541173
 142.344329, 22286.536629
 144.123422, 22271.572096
 145.921620, 22256.551408
 147.733596, 22241.519994
 149.562124, 22226.455537
 149.929216, 22223.443685
 151.091783, 22213.932430
 151.164953, 22213.335183
 151.179179, 22213.219082
 151.182336, 22213.193316
 151.186745, 22213.157243
 151.219135, 22212.892268
 151.377554, 22211.596729
 152.112595, 22205.595536
 154.067346, 22189.714887
 155.945660, 22174.561495
 157.842951, 22159.358827
 159.746554, 22144.208571
 161.668060, 22129.018614
 163.602940, 22113.825428
 165.551827, 22098.624399
 167.519011, 22083.382809
 169.500186, 22068.134743
 171.497863, 22052.861423
 173.509403, 22037.583592
 175.526525, 22022.363863
 177.564456, 22007.087563
 179.622763, 21991.759269
 181.693401, 21976.439564
 183.776558, 21961.127151
 185.881204, 21945.756851
 187.989859, 21930.456441
 190.114564, 21915.138315
 192.258399, 21899.781055
 194.415443, 21884.427661
 196.583905, 21869.090948
 198.769600, 21853.730109
 200.970071, 21838.362951
 203.194880, 21822.923689
 205.430517, 21807.506804
 207.686720, 21792.045613
 208.139408, 21788.955111
 209.729953, 21778.127054
 209.749181, 21777.996446
 209.756189, 21777.948842
 209.758790, 21777.931162
 209.761236, 21777.914503
 209.785696, 21777.747909
 209.928339, 21776.776600
 210.554529, 21772.517134
 212.364401, 21760.246940
 214.683335, 21744.613387
 216.987738, 21729.174119
 219.315930, 21713.671450
 221.654313, 21698.196498
 224.005063, 21682.734742
 226.379881, 21667.209936
 228.771253, 21651.672153
 231.175707, 21636.144238
 233.594849, 21620.615994
 236.021407, 21605.133932
 238.477486, 21589.557711
 240.945064, 21574.002541
 243.432171, 21558.418139
 245.931253, 21542.852186
 248.440717, 21527.314454
 250.978154, 21511.696744
 253.523409, 21496.123680
 256.082147, 21480.560373
 258.668528, 21464.921542
 261.274648, 21449.256153
 263.893236, 21433.608238
 266.518709, 21418.010830
 269.164369, 21402.384971
 271.824367, 21386.765666
 274.500293, 21371.143794
 277.198968, 21355.480181
 277.739079, 21352.356146
 278.325932, 21348.965830
 278.679165, 21346.927209
 278.991749, 21345.124459
 279.246071, 21343.658612
 279.434463, 21342.573276
 279.615308, 21341.531827
 279.623749, 21341.483225
 279.627299, 21341.462774
 279.630752, 21341.442860
 279.660114, 21341.273511
 279.843653, 21340.215189
 280.595044, 21335.886810
 283.427964, 21319.629424
 286.175775, 21303.952492
 288.936410, 21288.292339
 291.711153, 21272.641732
 294.507808, 21256.957112
 297.318636, 21241.282364
 300.145795, 21225.605643
 302.987753, 21209.935664
 305.846338, 21194.262586
 308.723236, 21178.577550
