Time, Vertical Forces
   0.000100,    0.000001
   0.000546,    0.000038
   0.002193,    0.000609
   0.008206,    0.008525
   0.021445,    0.058209
   0.044878,    0.254855
   0.070908,    0.636023
   0.096960,    1.188887
   0.123058,    1.914423
   0.149092,    2.809283
   0.175291,    3.882154
   0.201568,    5.131654
   0.227869,    6.556155
   0.254200,    8.156311
   0.280677,    9.940778
   0.307292,   11.911690
   0.333859,   14.055932
   0.360894,   16.419180
   0.387778,   18.950451
   0.414826,   21.679353
   0.442104,   24.616220
   0.469309,   27.729921
   0.496420,   31.016261
   0.524017,   34.549193
   0.551763,   38.291973
   0.579615,   42.241314
   0.607521,   46.391237
   0.635901,   50.809470
   0.664210,   55.415163
   0.692580,   60.229576
   0.721147,   65.278272
   0.750419,   70.660356
   0.779450,   76.206695
   0.808805,   82.025814
   0.838252,   88.076106
   0.868117,   94.429971
   0.898450,  101.107123
   0.928713,  107.993751
   0.958722,  115.043825
   0.989125,  122.411088
   1.020166,  130.165863
   1.051316,  138.184177
   1.082355,  146.408955
   1.113923,  155.014595
   1.145511,  163.868058
   1.177733,  173.148871
   1.209788,  182.631532
   1.241667,  192.308726
   1.274168,  202.427867
   1.307020,  212.915820
   1.340331,  223.816205
   1.373587,  234.965309
   1.406951,  246.418132
   1.441117,  258.423285
   1.475079,  270.634861
   1.509388,  283.251769
   1.543708,  296.154842
   1.577823,  309.259994
   1.612295,  322.784584
   1.619323,  325.576570
   1.636229,  332.341266
   1.636547,  332.469154
   1.636804,  332.572667
   1.636893,  332.608412
   1.636973,  332.640637
   1.637557,  332.875603
   1.640258,  333.963506
   1.647732,  336.983148
   1.668344,  345.379235
   1.705478,  360.760627
   1.741009,  375.784805
   1.777249,  391.417451
   1.813736,  407.471162
   1.850529,  423.978301
   1.887241,  440.767694
   1.924381,  458.076920
   1.961480,  475.691100
   1.998703,  493.689668
   2.036046,  512.073167
   2.073776,  530.978995
   2.111743,  550.340532
   2.150027,  570.205295
   2.188725,  590.632406
   2.227167,  611.269636
   2.265671,  632.285140
   2.304423,  653.784014
   2.343966,  676.080853
   2.383447,  698.703990
   2.423246,  721.874213
   2.463018,  745.394502
   2.503525,  769.723729
   2.544295,  794.592471
   2.584787,  819.670199
   2.625677,  845.375290
   2.666496,  871.417856
   2.707749,  898.124575
   2.749319,  925.429533
   2.791119,  953.282080
   2.833193,  981.718377
   2.875176, 1010.494160
   2.917803, 1040.120000
   2.960451, 1070.172335
   3.003423, 1100.867668
   3.045845, 1131.578622
   3.088955, 1163.202784
   3.132169, 1195.322483
   3.175717, 1228.113084
   3.219444, 1261.466369
   3.263510, 1295.510022
   3.307390, 1329.839706
   3.307843, 1330.196850
   3.307980, 1330.304699
   3.308056, 1330.364792
   3.308126, 1330.419394
   3.308819, 1330.965466
   3.311936, 1333.421098
   3.322869, 1342.052334
   3.354707, 1367.339593
   3.399423, 1403.234716
   3.444307, 1439.710309
   3.489099, 1476.555325
   3.534285, 1514.173665
   3.579924, 1552.625511
   3.625443, 1591.432793
   3.671166, 1630.871548
   3.717269, 1671.102009
   3.763268, 1711.705347
   3.809324, 1752.820797
   3.855413, 1794.428649
   3.902265, 1837.197950
   3.949382, 1880.689746
   3.996416, 1924.584249
   4.043704, 1969.197293
   4.090883, 2014.186992
   4.138856, 2060.426276
   4.186700, 2107.032194
   4.234818, 2154.399200
   4.283030, 2202.355098
   4.331695, 2251.264528
   4.380248, 2300.562657
   4.429271, 2350.846353
   4.478240, 2401.582913
   4.527787, 2453.434274
   4.577019, 2505.468771
   4.626739, 2558.535990
   4.676821, 2612.514240
   4.726917, 2667.033956
   4.777028, 2722.094486
   4.827739, 2778.346093
   4.878214, 2834.868558
   4.928845, 2892.095688
   4.979690, 2950.099398
   4.989956, 2961.875299
   4.996348, 2969.219237
   5.000646, 2974.160818
   5.016762, 2992.726990
   5.017069, 2993.081633
   5.017197, 2993.229524
   5.017324, 2993.375566
   5.018246, 2994.439288
   5.022445, 2999.287087
   5.039548, 3019.068936
   5.082406, 3068.904360
   5.133662, 3129.000188
   5.185596, 3190.439792
   5.237003, 3251.800382
   5.288860, 3314.243252
   5.340997, 3377.575853
   5.393355, 3441.732819
   5.446267, 3507.131737
   5.499001, 3572.873276
   5.551840, 3639.307099
   5.604933, 3706.626094
   5.658137, 3774.653219
   5.711326, 3843.226867
   5.764647, 3912.535766
   5.818689, 3983.360734
   5.872521, 4054.485534
   5.926575, 4126.479858
   5.980845, 4199.343450
   6.035439, 4273.226512
   6.090116, 4347.807283
   6.144541, 4422.626347
   6.199202, 4498.352065
   6.254099, 4574.989909
   6.309627, 4653.104565
   6.364950, 4731.523452
   6.420734, 4811.194840
   6.476851, 4891.946901
   6.533048, 4973.420162
   6.589025, 5055.175368
   6.645167, 5137.772170
   6.701344, 5221.020812
   6.758032, 5305.635024
   6.760302, 5309.035272
   6.762299, 5312.028625
   6.763846, 5314.347269
   6.765566, 5316.926259
   6.767053, 5319.155092
   6.768355, 5321.108983
   6.768455, 5321.257844
   6.768567, 5321.426894
   6.768669, 5321.579591
   6.769459, 5322.764657
   6.774003, 5329.583117
   6.789526, 5352.906138
   6.827739, 5410.514049
   6.884826, 5497.089755
   6.941771, 5584.058534
   6.998975, 5672.036890
   7.056401, 5760.970220
   7.113705, 5850.328090
   7.171198, 5940.594553
   7.228767, 6031.592816
   7.286893, 6124.093837
   7.344933, 6217.077976
   7.403308, 6311.222685
   7.461814, 6406.203450
   7.520453, 6502.027359
   7.579128, 6598.536946
   7.638006, 6696.006799
   7.696661, 6793.731156
   7.756008, 6893.238529
   7.815578, 6993.757036
   7.875004, 7094.664364
   7.934423, 7196.190540
   7.994106, 7298.800430
   8.053973, 7402.360352
   8.113887, 7506.636274
   8.174214, 7612.269491
   8.234546, 7718.550107
   8.294938, 7825.573481
   8.355549, 7933.626417
   8.416380, 8042.712300
   8.477368, 8152.721829
   8.538209, 8263.109035
   8.550535, 8285.548504
   8.558554, 8300.163855
   8.564106, 8310.286961
   8.564826, 8311.600922
   8.565911, 8313.580196
   8.566294, 8314.279200
   8.566412, 8314.493846
   8.567307, 8316.126511
   8.568163, 8317.688689
   8.572523, 8325.645572
   8.593354, 8363.709808
   8.650315, 8468.172249
   8.711318, 8580.659889
   8.772930, 8694.917135
   8.834932, 8810.546311
   8.896957, 8926.868264
   8.959145, 9044.147643
   9.021049, 9161.536886
   9.083326, 9280.279772
   9.145736, 9399.924740
   9.208148, 9520.220671
   9.271104, 9642.218821
   9.334025, 9764.802426
   9.397113, 9888.363300
   9.460419, 10013.006440
   9.523792, 10138.438250
   9.587237, 10264.663067
   9.650864, 10391.907788
   9.714678, 10520.179482
   9.778496, 10649.114729
   9.842581, 10779.244329
   9.906913, 10910.535523
   9.971007, 11041.994242
  10.035305, 11174.524312
  10.099827, 11308.170886
  10.164244, 11442.252369
  10.228971, 11577.631678
  10.293812, 11713.904679
  10.358864, 11851.277175
  10.371879, 11878.838256
  10.412995, 11966.084719
  10.415578, 11971.573905
  10.416080, 11972.641114
  10.416191, 11972.877945
  10.416347, 11973.208712
  10.417490, 11975.638477
  10.423079, 11987.521842
  10.448975, 12042.644800
  10.517555, 12189.123919
  10.583066, 12329.720562
  10.648861, 12471.584548
  10.714500, 12613.766737
  10.780383, 12757.130570
  10.846351, 12901.335248
  10.912426, 13046.425460
  10.978749, 13192.717361
  11.045174, 13339.887578
  11.111782, 13488.119889
  11.178484, 13637.215369
  11.245006, 13786.558687
  11.311850, 13937.274945
  11.378996, 14089.327707
  11.446181, 14242.119523
  11.513409, 14395.662032
  11.580967, 14550.612892
  11.648295, 14705.683001
  11.715777, 14861.756034
  11.783509, 15019.054791
  11.851301, 15177.141695
  11.919097, 15335.883139
  11.987078, 15495.702096
  12.055166, 15656.415751
  12.123653, 15818.718458
  12.192120, 15981.621042
  12.260864, 16145.829874
  12.274615, 16178.753856
  12.322819, 16294.372740
  12.323400, 16295.769846
  12.323612, 16296.279079
  12.323691, 16296.468058
  12.323765, 16296.645778
  12.324505, 16298.423014
  12.328819, 16308.786976
  12.347741, 16354.274775
  12.402285, 16485.665036
  12.471853, 16653.831997
  12.540639, 16820.746612
  12.609789, 16989.184080
  12.678898, 17158.157292
  12.748031, 17327.821496
  12.817528, 17499.017384
  12.887168, 17671.198976
  12.956848, 17844.113354
  13.026613, 18017.873309
  13.096256, 18191.954642
  13.166407, 18367.939279
  13.236550, 18544.531477
  13.306910, 18722.302762
  13.377274, 18900.710094
  13.447598, 19079.637694
  13.518370, 19260.335759
  13.589029, 19441.365245
  13.659731, 19623.127309
  13.730865, 19806.623293
  13.802209, 19991.287022
  13.873564, 20176.600174
  13.944779, 20362.166008
  14.016214, 20548.922072
  14.087709, 20736.451808
  14.159308, 20924.864386
  14.231190, 21114.635912
  14.245537, 21152.587423
  14.261112, 21193.812351
  14.270479, 21218.620507
  14.278764, 21240.570411
  14.285501, 21258.426628
  14.290490, 21271.652484
  14.295278, 21284.347398
  14.295501, 21284.939933
  14.295595, 21285.189130
  14.295687, 21285.431488
  14.296464, 21287.492561
  14.301321, 21300.375197
  14.321190, 21353.103832
  14.395883, 21551.734721
  14.468004, 21744.144610
  14.540141, 21937.202272
  14.612327, 22130.994724
  14.684765, 22326.063338
  14.757252, 22521.864306
  14.829843, 22718.544922
  14.902499, 22915.995457
  14.975264, 23114.339634
  15.048181, 23313.690778
  15.121299, 23514.181794
  15.194472, 23715.416550
  15.267440, 23916.670820
  15.340821, 24119.651677
  15.414125, 24323.001025
  15.487693, 24527.664747
  15.561157, 24732.618339
  15.635098, 24939.483197
  15.708833, 25146.347160
  15.782645, 25354.002838
  15.856521, 25562.405197
  15.930575, 25771.882508
  16.004824, 25982.476696
  16.078953, 26193.296624
  16.153613, 26406.192546
  16.228255, 26619.603817
  16.303206, 26834.459903
  16.318191, 26877.485150
  16.327734, 26904.895487
  16.336807, 26930.964629
  16.338523, 26935.897361
  16.339553, 26938.856740
