Speed (TAS), Climb Angle
 258.658958,    1.365873
 260.705266,    1.391764
 262.751573,    1.416225
 264.797881,    1.438428
 266.844188,    1.458429
 268.890496,    1.477067
 270.936803,    1.494090
 272.983110,    1.508937
 275.029418,    1.523589
 277.075725,    1.537199
 279.122033,    1.549688
 281.168340,    1.563519
 283.214648,    1.577958
 285.260955,    1.591894
 287.307263,    1.608270
 289.353570,    1.627012
 291.399878,    1.643750
 293.446185,    1.663815
 295.492493,    1.683191
 297.538800,    1.702305
 299.585108,    1.721546
 301.631415,    1.740431
 303.677722,    1.758400
 305.724030,    1.775457
 307.770337,    1.792436
 309.816645,    1.807368
 311.862952,    1.822165
 313.909260,    1.835667
 315.955567,    1.848298
 318.001875,    1.860794
 320.048182,    1.871120
 322.094490,    1.881464
 324.140797,    1.891221
 326.187105,    1.899383
 328.233412,    1.907577
 330.279720,    1.915049
 332.326027,    1.921147
 334.372334,    1.927283
 336.418642,    1.932888
 338.464949,    1.936970
 340.511257,    1.941087
 342.557564,    1.945224
 344.603872,    1.947309
 346.650179,    1.949416
 348.696487,    1.951537
 350.742794,    1.952588
 352.789102,    1.952689
 354.835409,    1.952791
 356.881717,    1.952894
 358.928024,    1.951349
 360.974332,    1.949445
 363.020639,    1.947531
 365.066946,    1.945605
 367.113254,    1.941987
 369.159561,    1.938077
 371.205869,    1.934145
 373.252176,    1.930191
 375.298484,    1.925058
 377.344791,    1.919147
 379.391099,    1.913203
 381.437406,    1.907226
 383.483714,    1.901169
 385.530021,    1.893268
 387.576329,    1.885324
 389.622636,    1.877337
 391.668944,    1.869307
 393.715251,    1.861105
 395.761558,    1.851180
 397.807866,    1.841202
 399.854173,    1.831172
 401.900481,    1.821089
 403.946788,    1.810953
 405.993096,    1.799547
 408.039403,    1.787542
 410.085711,    1.775475
 412.132018,    1.763347
 414.178326,    1.751157
 416.224633,    1.738905
 418.270941,    1.725185
 420.317248,    1.711097
 422.363556,    1.696939
 424.409863,    1.682710
 426.456170,    1.668412
 428.502478,    1.654043
 430.548785,    1.638965
 432.595093,    1.622800
 434.641400,    1.606557
 436.687708,    1.590236
 438.734015,    1.573837
 440.780323,    1.557360
 442.826630,    1.540805
 444.872938,    1.523719
 446.919245,    1.505408
 448.965553,    1.487012
 451.011860,    1.468530
 453.058168,    1.449962
 455.104475,    1.431309
 457.150783,    1.412570
 459.197090,    1.393746
 461.243397,    1.374238
