Speed (TAS), Rate of Climb
 258.658958,  386.661059
 260.705266,  402.697909
 262.751573,  419.857927
 264.797881,  436.784193
 266.844188,  452.870775
 268.890496,  468.802411
 270.936803,  484.545138
 272.983110,  501.121818
 275.029418,  517.665301
 277.075725,  533.302911
 279.122033,  548.981892
 281.168340,  564.173808
 283.214648,  579.861996
 285.260955,  594.995663
 287.307263,  609.920882
 289.353570,  624.335530
 291.399878,  638.586948
 293.446185,  652.322478
 295.492493,  665.993753
 297.538800,  678.928962
 299.585108,  692.047448
 301.631415,  704.049797
 303.677722,  716.119181
 305.724030,  727.515031
 307.770337,  738.683162
 309.816645,  749.699706
 311.862952,  759.692871
 313.909260,  769.630458
 315.955567,  778.850072
 318.001875,  787.791218
 320.048182,  796.839233
 322.094490,  804.653493
 324.140797,  812.476595
 326.187105,  820.209803
 328.233412,  826.960726
 330.279720,  833.774304
 332.326027,  840.934499
 334.372334,  847.223228
 336.418642,  853.561323
 338.464949,  859.949437
 340.511257,  865.211990
 342.557564,  871.055058
 344.603872,  877.024328
 346.650179,  882.326956
 348.696487,  887.123692
 350.742794,  891.937838
 352.789102,  896.693136
 354.835409,  900.255205
 356.881717,  903.785501
 358.928024,  907.312270
 360.974332,  910.616302
 363.020639,  912.317877
 365.066946,  913.989187
 367.113254,  915.630380
 369.159561,  917.192420
 371.205869,  917.475246
 373.252176,  917.425655
 375.298484,  917.322144
 377.344791,  917.164749
 379.391099,  916.168031
 381.437406,  914.671642
 383.483714,  913.147116
 385.530021,  911.549321
 387.576329,  909.878184
 389.622636,  907.027925
 391.668944,  904.104636
 393.715251,  901.329384
 395.761558,  898.464825
 397.807866,  895.510783
 399.854173,  891.519111
 401.900481,  887.352421
 403.946788,  883.310222
 405.993096,  879.163220
 408.039403,  874.911143
 410.085711,  870.306030
 412.132018,  864.509410
 414.178326,  858.520964
 416.224633,  852.406177
 418.270941,  846.164683
 420.317248,  839.796117
 422.363556,  832.617777
 424.409863,  823.988948
 426.456170,  815.206642
 428.502478,  806.270408
 430.548785,  797.179796
 432.595093,  787.431967
 434.641400,  777.391332
 436.687708,  766.615445
 438.734015,  755.007803
 440.780323,  743.220126
 442.826630,  731.460810
 444.872938,  719.547257
 446.919245,  707.454229
 448.965553,  695.181195
 451.011860,  682.587857
 453.058168,  669.485893
 455.104475,  656.195681
 457.150783,  642.713448
 459.197090,  629.038586
 461.243397,  615.198674
