Ground Roll distance, Load Factor
 361.850127,    0.677494
 371.304282,    0.674630
 438.389398,    0.654573
 451.685582,    0.650652
 464.941911,    0.646760
 478.158566,    0.642897
 491.335725,    0.639064
 493.966433,    0.638300
 494.176821,    0.638239
 494.262836,    0.638214
 494.304892,    0.638202
 494.350545,    0.638189
 494.371726,    0.638183
 494.380399,    0.638180
 494.381469,    0.638180
 494.382526,    0.638179
 494.393090,    0.638173
 494.498726,    0.638112
 495.554815,    0.637501
 506.087840,    0.631394
 570.485358,    0.593409
 632.856122,    0.555542
 693.141742,    0.517905
 751.284185,    0.480613
 807.225950,    0.443788
 860.910259,    0.407556
 912.281247,    0.372046
 961.284163,    0.337390
1007.865573,    0.303722
1051.973567,    0.271175
1093.557966,    0.239887
1132.570531,    0.209990
1168.965167,    0.181615
1202.698128,    0.154893
1233.728217,    0.129947
1262.016974,    0.106895
1287.528860,    0.085850
1310.231429,    0.066915
1330.095492,    0.050187
1347.095258,    0.035750
1361.208471,    0.023679
1372.416521,    0.014037
1380.704546,    0.006876
1386.061504,    0.002233
1388.480238,    0.000133
1388.633049,    0.000000
