CL_e, delta_e_eq
  -0.803643,    0.115954
  -0.707574,    0.071083
  -0.611632,    0.007824
  -0.515807,   -0.072285
  -0.420113,   -0.171454
  -0.324559,   -0.290696
  -0.229136,   -0.428990
  -0.133830,   -0.584150
  -0.038658,   -0.745793
   0.056752,   -0.898797
   0.151719,   -1.103035
   0.246566,   -1.311692
   0.341280,   -1.526857
   0.435855,   -1.749435
   0.530297,   -1.979244
   0.624619,   -2.214268
   0.718807,   -2.456705
   0.812857,   -2.707205
   0.906775,   -2.965408
   1.000573,   -3.229971
   1.094238,   -3.502807
   1.187766,   -3.784716
   1.281167,   -4.074922
   1.374378,   -4.373458
   1.463479,   -4.704531
   1.540306,   -5.136168
   1.599536,   -5.707496
   1.639254,   -6.432490
   1.660925,   -7.394276
   1.669392,   -8.758679
   1.672797,  -10.320914
   1.681925,  -12.162636
   1.711637,  -14.449167
   1.780556,  -23.535419
