alpha body, Neutral Point
 -10.000000,    0.200222
  -9.090909,    0.208677
  -8.181818,    0.225211
  -7.272727,    0.241628
  -6.363636,    0.258388
  -5.454545,    0.274876
  -4.545455,    0.290475
  -3.636364,    0.303189
  -2.727273,    0.310546
  -1.818182,    0.326514
  -0.909091,    0.344402
  -0.000000,    0.352755
   0.909091,    0.361329
   1.818182,    0.369684
   2.727273,    0.377108
   3.636364,    0.384098
   4.545455,    0.391178
   5.454545,    0.397829
   6.363636,    0.403629
   7.272727,    0.409033
   8.181818,    0.414494
   9.090909,    0.419449
  10.000000,    0.423703
  10.909091,    0.431178
  11.818182,    0.456996
  12.727273,    0.518749
  13.636364,    0.649657
  14.545455,    1.054334
  15.454545,    2.948291
  16.363636,    8.295286
  17.272727,    8.973937
  18.181818,    4.133850
  19.090909,    1.840151
  20.000000,    1.296953
