alpha body, Efficiency
  -0.769026,   -7.950825
  -0.677219,   -7.988847
  -0.585514,   -7.924843
  -0.493900,   -7.687879
  -0.402391,   -7.228852
  -0.310992,   -6.468910
  -0.219697,   -5.280963
  -0.128494,   -3.523325
  -0.037396,   -1.151755
   0.053953,    1.827523
   0.144900,    5.221335
   0.235754,    8.615566
   0.326503,   11.592387
   0.417143,   13.859032
   0.507678,   15.266379
   0.598119,   15.810089
   0.688455,   15.778732
   0.778683,   15.382839
   0.868808,   14.752769
   0.958839,   13.976681
   1.048765,   13.177520
   1.138584,   12.402601
   1.228303,   11.655612
   1.317862,   10.943104
   1.403492,   10.259979
   1.477343,    9.558767
   1.534276,    8.799651
