CL_e, delta_e_eq
  -0.867675,   -2.619799
  -0.753378,   -2.287418
  -0.639248,   -1.978166
  -0.525286,   -1.692218
  -0.411494,   -1.430236
  -0.297860,   -1.190156
  -0.184385,   -0.972159
  -0.071079,   -0.760518
   0.042444,   -0.553062
   0.155486,   -0.395228
   0.268360,   -0.244924
   0.381076,   -0.100319
   0.493623,    0.036314
   0.605996,    0.164354
   0.718194,    0.283255
   0.830222,    0.393215
   0.942093,    0.496016
   1.053798,    0.589655
   1.165332,    0.673315
   1.276693,    0.746137
   1.387885,    0.808605
   1.498597,    0.858051
   1.596973,    0.773848
   1.664148,    0.376190
   1.695390,   -0.448387
   1.701356,   -1.536622
   1.707966,   -2.898461
   1.755302,   -4.094234
   1.899380,   -4.401433
