CLe, Static Stability Margin
  -0.847335,    0.314700
  -0.735719,    0.305173
  -0.624266,    0.286225
  -0.512977,    0.267517
  -0.401853,    0.249420
  -0.290881,    0.232003
  -0.180062,    0.217956
  -0.069407,    0.207399
   0.041463,    0.189360
   0.151866,    0.171712
   0.262108,    0.162895
   0.372199,    0.154486
   0.482127,    0.146003
   0.591890,    0.137917
   0.701486,    0.130381
   0.810919,    0.123799
   0.920203,    0.117780
   1.029329,    0.111858
   1.138290,    0.106240
   1.247088,    0.101154
   1.355724,    0.096519
   1.463895,    0.077433
   1.560013,   -0.001530
   1.625633,   -0.340419
   1.656120,   -2.697965
   1.661880,   -5.544393
   1.668251,   -3.562991
   1.714505,   -0.439287
   1.855464,   -0.062580
