alpha body, CL_e
 -10.000000,   -0.797949
  -9.090909,   -0.702572
  -8.181818,   -0.607301
  -7.272727,   -0.512120
  -6.363636,   -0.417043
  -5.454545,   -0.322077
  -4.545455,   -0.227219
  -3.636364,   -0.132452
  -2.727273,   -0.037791
  -1.818182,    0.057131
  -0.909091,    0.151643
  -0.000000,    0.246060
   0.909091,    0.340370
   1.818182,    0.434569
   2.727273,    0.528665
   3.636364,    0.622664
   4.545455,    0.716554
   5.454545,    0.810336
   6.363636,    0.904017
   7.272727,    0.997599
   8.181818,    1.091073
   9.090909,    1.184440
  10.000000,    1.277709
  10.909091,    1.370770
  11.818182,    1.457437
  12.727273,    1.525658
  13.636364,    1.569491
  14.545455,    1.590079
  15.454545,    1.595624
