CL_e, delta_e_eq
   0.385203,   -0.115081
   0.477017,   -0.276604
   0.568679,   -0.460483
   0.660179,   -0.668176
   0.751510,   -0.900756
   0.842676,   -1.157646
   0.933692,   -1.436667
   1.024544,   -1.739812
   1.115225,   -2.055716
   1.206105,   -2.367640
   1.296513,   -2.736594
   1.386754,   -3.117384
   1.476831,   -3.509931
   1.566735,   -3.915210
   1.656467,   -4.333997
   1.746022,   -4.766797
   1.835408,   -5.214769
   1.924629,   -5.677561
   2.013678,   -6.154637
   2.102550,   -6.647117
   2.191248,   -7.154568
   2.279775,   -7.676829
   2.368136,   -8.213585
   2.456328,   -8.795476
   2.543624,   -9.413435
   2.626441,  -10.098364
   2.701155,  -10.889555
   2.765018,  -11.850275
   2.816153,  -13.288220
   2.853544,  -15.655086
   2.877048,  -25.000000
