CLe, Neutral Point
   0.385044,    0.230000
   0.485975,    0.241380
   0.586711,    0.263707
   0.687260,    0.285893
   0.787607,    0.308107
   0.887753,    0.329823
   0.987701,    0.347585
   1.087460,    0.361136
   1.187372,    0.383038
   1.286795,    0.405256
   1.386012,    0.418553
   1.485024,    0.431660
   1.583823,    0.444506
   1.682414,    0.456410
   1.780806,    0.467702
   1.878994,    0.478792
   1.976972,    0.489549
   2.074742,    0.499818
   2.172300,    0.509674
   2.269650,    0.519001
   2.366789,    0.527805
   2.463724,    0.539713
   2.559206,    0.567874
   2.648335,    0.629142
   2.726572,    0.740405
   2.790662,    1.056257
   2.838630,    1.712812
   2.869770,    3.404890
   2.884638,  107.788421
