alpha body, CL_e
 -10.000000,    0.385017
  -9.000000,    0.485941
  -8.000000,    0.586669
  -7.000000,    0.687211
  -6.000000,    0.787550
  -5.000000,    0.887688
  -4.000000,    0.987629
  -3.000000,    1.087381
  -2.000000,    1.187286
  -1.000000,    1.286700
   0.000000,    1.385910
   1.000000,    1.484915
   2.000000,    1.583707
   3.000000,    1.682291
   4.000000,    1.780675
   5.000000,    1.878857
   6.000000,    1.976827
   7.000000,    2.074590
   8.000000,    2.172142
   9.000000,    2.269484
  10.000000,    2.366617
  11.000000,    2.463546
  12.000000,    2.559021
  13.000000,    2.648144
  14.000000,    2.726375
  15.000000,    2.790461
  16.000000,    2.838426
  17.000000,    2.869564
  18.000000,    2.884431
