alpha body, Neutral Point
 -10.000000,    0.212438
  -9.090909,    0.222177
  -8.181818,    0.241777
  -7.272727,    0.261482
  -6.363636,    0.280877
  -5.454545,    0.299300
  -4.545455,    0.317235
  -3.636364,    0.332358
  -2.727273,    0.340578
  -1.818182,    0.358646
  -0.909091,    0.379596
  -0.000000,    0.389380
   0.909091,    0.398897
   1.818182,    0.408336
   2.727273,    0.417442
   3.636364,    0.425905
   4.545455,    0.433525
   5.454545,    0.440783
   6.363636,    0.448009
   7.272727,    0.454796
   8.181818,    0.462180
   9.090909,    0.474109
