CLe, Static Stability Margin
  -0.047924,    0.035934
   0.051076,    0.024911
   0.149918,    0.003368
   0.248611,   -0.017879
   0.347144,   -0.038995
   0.445517,   -0.059479
   0.543736,   -0.075698
   0.641808,   -0.087386
   0.740065,   -0.107758
   0.837890,   -0.128325
   0.935559,   -0.139393
   1.033071,   -0.150147
   1.130423,   -0.160542
   1.227618,   -0.169965
   1.324664,   -0.178724
   1.421558,   -0.187161
   1.518297,   -0.195176
   1.614882,   -0.202633
   1.711313,   -0.210516
   1.806464,   -0.223041
