alpha body, Efficiency
 -10.000000,   -0.777524
  -9.090909,    0.759661
  -8.181818,    2.509090
  -7.272727,    4.453947
  -6.363636,    6.568604
  -5.454545,    8.791416
  -4.545455,   10.984944
  -3.636364,   13.065118
  -2.727273,   14.955941
  -1.818182,   16.585677
  -0.909091,   17.865509
  -0.000000,   18.752424
   0.909091,   19.260290
   1.818182,   19.454890
   2.727273,   19.390198
   3.636364,   19.119660
   4.545455,   18.680420
   5.454545,   18.108098
   6.363636,   17.464722
   7.272727,   16.790628
   8.181818,   16.104297
   9.090909,   15.390437
  10.000000,   14.574783
  10.909091,   13.810761
