Speed (CAS), Climb Angle
 123.767970,    1.561487
 125.113699,    1.552780
 126.459428,    1.541724
 127.805157,    1.528424
 129.150886,    1.515606
 130.496615,    1.502868
 131.842344,    1.488236
 133.188073,    1.471835
 134.533802,    1.453152
 135.879531,    1.432656
 137.225260,    1.410675
 138.570989,    1.387204
 139.916718,    1.361438
 141.262447,    1.334497
 142.608176,    1.306226
 143.953905,    1.275849
 145.299634,    1.244633
 146.645363,    1.211576
 147.991092,    1.177313
 149.336821,    1.142238
 150.682550,    1.109103
 152.028279,    1.075225
 153.374008,    1.039486
 154.719737,    1.003209
 156.065466,    0.965109
 157.411195,    0.926434
 158.756924,    0.886227
 160.102653,    0.845159
 161.448382,    0.803114
 162.794111,    0.759663
 164.139840,    0.716061
 165.485569,    0.670241
 166.831298,    0.624288
 168.177027,    0.577206
 169.522756,    0.528884
 170.868485,    0.482427
 172.214214,    0.435429
 173.559943,    0.387788
 174.905672,    0.339981
 176.251401,    0.290272
 177.597130,    0.240117
 178.942859,    0.189779
 180.288588,    0.137783
 181.634317,    0.085116
 182.980046,    0.032251
 184.325774,   -0.021581
 185.671503,   -0.076751
 187.017232,   -0.132132
 188.362961,   -0.187726
 189.708690,   -0.244980
 191.054419,   -0.302417
 192.400148,   -0.357897
 193.745877,   -0.413602
 195.091606,   -0.471059
 196.437335,   -0.529028
 197.783064,   -0.587236
 199.128793,   -0.645682
 200.474522,   -0.705337
 201.820251,   -0.766016
 203.165980,   -0.826945
 204.511709,   -0.888125
 205.857438,   -0.949556
 207.203167,   -1.012674
 208.548896,   -1.076310
 209.894625,   -1.140209
 211.240354,   -1.204371
 212.586083,   -1.266548
 213.931812,   -1.329124
 215.277541,   -1.392539
 216.623270,   -1.456228
 217.968999,   -1.520191
 219.314728,   -1.584427
 220.660457,   -1.648936
 222.006186,   -1.715106
 223.351915,   -1.781751
 224.697644,   -1.848680
 226.043373,   -1.915893
 227.389102,   -1.983389
 228.734831,   -2.051170
 230.080560,   -2.119857
 231.426289,   -2.189729
 232.772018,   -2.259540
 234.117747,   -2.328549
 235.463476,   -2.397853
 236.809205,   -2.467451
 238.154934,   -2.537343
 239.500663,   -2.607669
 240.846392,   -2.679606
 242.192121,   -2.751847
 243.537850,   -2.824390
 244.883579,   -2.897237
 246.229308,   -2.970387
 247.575037,   -3.043842
 248.920766,   -3.117600
 250.266495,   -3.191662
 251.612224,   -3.267052
 252.957953,   -3.343118
 254.303682,   -3.419069
 255.649411,   -3.495212
 256.995140,   -3.571669
