Speed (CAS), Efficiency
 123.767968,   14.635897
 125.324060,   14.779727
 126.880151,   14.915562
 128.436242,   15.043321
 129.992334,   15.162990
 131.548425,   15.274127
 133.104516,   15.376291
 134.660607,   15.470193
 136.216699,   15.556079
 137.772790,   15.634266
 139.328881,   15.705139
 140.884973,   15.766966
 142.441064,   15.819896
 143.997155,   15.866384
 145.553247,   15.906577
 147.109338,   15.935784
 148.665429,   15.959861
 150.221520,   15.977378
 151.777612,   15.985550
 153.333703,   15.990275
 154.889794,   15.984799
 156.445886,   15.975603
 158.001977,   15.958657
 159.558068,   15.936802
 161.114160,   15.908506
 162.670251,   15.875426
 164.226342,   15.836021
 165.782433,   15.793283
 167.338525,   15.743115
 168.894616,   15.692391
 170.450707,   15.631895
 172.006799,   15.571316
 173.562890,   15.504609
 175.118981,   15.434305
 176.675073,   15.363590
 178.231164,   15.284154
 179.787255,   15.204849
 181.343346,   15.123276
 182.899438,   15.035601
 184.455529,   14.948200
 186.011620,   14.858681
 187.567712,   14.763719
 189.123803,   14.669186
 190.679894,   14.574582
 192.235986,   14.473313
 193.792077,   14.372635
 195.348168,   14.272554
 196.904259,   14.169083
 198.460351,   14.063239
 200.016442,   13.958149
 201.572533,   13.853815
 203.128625,   13.745439
 204.684716,   13.636277
 206.240807,   13.528022
 207.796899,   13.420671
 209.352990,   13.310995
 210.909081,   13.199684
 212.465173,   13.089416
 214.021264,   12.980185
 215.577355,   12.871984
 217.133446,   12.759982
 218.689538,   12.648732
 220.245629,   12.538631
 221.801720,   12.429669
 223.357812,   12.321838
 224.913903,   12.211520
 226.469994,   12.101422
 228.026086,   11.992554
 229.582177,   11.884901
 231.138268,   11.778451
 232.694359,   11.673100
 234.250451,   11.565037
 235.806542,   11.458256
 237.362633,   11.352741
 238.918725,   11.248477
 240.474816,   11.145447
 242.030907,   11.043638
 243.586999,   10.941292
 245.143090,   10.838546
 246.699181,   10.737076
 248.255272,   10.636863
 249.811364,   10.537892
 251.367455,   10.440143
 252.923546,   10.343601
 254.479638,   10.248061
 256.035729,   10.151079
 257.591820,   10.055342
 259.147912,    9.960830
 260.704003,    9.867524
 262.260094,    9.775407
 263.816185,    9.684461
 265.372277,    9.594669
 266.928368,    9.506012
 268.484459,    9.417461
 270.040551,    9.328790
 271.596642,    9.241275
 273.152733,    9.154898
 274.708825,    9.069641
 276.264916,    8.985486
 277.821007,    8.902416
