Speed (TAS), Efficiency
  66.793503,   13.955080
  67.541248,   14.057033
  68.288992,   14.152269
  69.036737,   14.240865
  69.784482,   14.322947
  70.532226,   14.398689
  71.279971,   14.468316
  72.027715,   14.532100
  72.775460,   14.587967
  73.523204,   14.637489
  74.270949,   14.681758
  75.018693,   14.720661
  75.766438,   14.751051
  76.514182,   14.777086
  77.261927,   14.798131
  78.009672,   14.811169
  78.757416,   14.821015
  79.505161,   14.823810
  80.252905,   14.821978
  81.000650,   14.815623
  81.748394,   14.802953
  82.496139,   14.787467
  83.243883,   14.764932
  83.991628,   14.740423
  84.739372,   14.709106
  85.487117,   14.675761
  86.234862,   14.636835
  86.982606,   14.594913
  87.730351,   14.549617
  88.478095,   14.499441
  89.225840,   14.449058
  89.973584,   14.391001
  90.721329,   14.332930
  91.469073,   14.271312
  92.216818,   14.205854
  92.964562,   14.140467
  93.712307,   14.069739
  94.460051,   13.997517
  95.207796,   13.925467
  95.955541,   13.847787
  96.703285,   13.769490
  97.451030,   13.691477
  98.198774,   13.608982
  98.946519,   13.525329
  99.694263,   13.442076
 100.442008,   13.356830
 101.189752,   13.268546
 101.937497,   13.180779
 102.685241,   13.093533
 103.432986,   13.002534
 104.180731,   12.910965
 104.928475,   12.820030
 105.676220,   12.729731
 106.423964,   12.635810
 107.171709,   12.541863
 107.919453,   12.448660
 108.667198,   12.356197
 109.414942,   12.261926
 110.162687,   12.166440
 110.910431,   12.071795
 111.658176,   11.977985
 112.405920,   11.885007
 113.153665,   11.789370
 113.901410,   11.694025
 114.649154,   11.599598
 115.396899,   11.506080
 116.144643,   11.413464
 116.892388,   11.319358
 117.640132,   11.224947
 118.387877,   11.131510
 119.135621,   11.039040
 119.883366,   10.947524
 120.631110,   10.856956
 121.378855,   10.764520
 122.126600,   10.672706
 122.874344,   10.581895
 123.622089,   10.492077
 124.369833,   10.403238
 125.117578,   10.315370
 125.865322,   10.227325
 126.613067,   10.138651
 127.360811,   10.050990
 128.108556,    9.964329
 128.856300,    9.878655
 129.604045,    9.793956
 130.351789,    9.710220
 131.099534,    9.627206
 131.847279,    9.543049
 132.595023,    9.459885
 133.342768,    9.377699
 134.090512,    9.296478
 134.838257,    9.216210
 135.586001,    9.136881
 136.333746,    9.058478
 137.081490,    8.980990
 137.829235,    8.902990
 138.576979,    8.825422
 139.324724,    8.748785
 140.072469,    8.673065
 140.820213,    8.598250
