Mach, Rate of Climb
   0.219176, 1058.346161
   0.221204, 1064.977952
   0.223233, 1071.187291
   0.225261, 1076.990215
   0.227290, 1082.404480
   0.229318, 1087.232023
   0.231347, 1091.656754
   0.233375, 1095.726672
   0.235404, 1099.244485
   0.237433, 1102.336096
   0.239461, 1105.117369
   0.241490, 1107.317541
   0.243518, 1110.468491
   0.245547, 1113.169014
   0.247575, 1115.421682
   0.249604, 1117.363548
   0.251632, 1118.733234
   0.253661, 1119.887458
   0.255689, 1120.394778
   0.257718, 1120.733564
   0.259746, 1120.404654
   0.261775, 1119.901480
   0.263803, 1118.768183
   0.265832, 1117.397882
   0.267860, 1115.497946
   0.269889, 1113.236794
   0.271917, 1110.614066
   0.273946, 1107.439861
   0.275975, 1104.158245
   0.278003, 1101.271675
   0.280032, 1098.166665
   0.282060, 1094.692385
   0.284089, 1090.656017
   0.286117, 1086.438658
   0.288146, 1081.674277
   0.290174, 1076.495635
   0.292203, 1071.122762
   0.294231, 1065.123337
   0.296260, 1058.761348
   0.298288, 1052.191870
   0.300317, 1045.025710
   0.302345, 1037.441533
   0.304374, 1029.636620
   0.306402, 1021.385851
   0.308431, 1012.543064
   0.310460, 1003.524226
   0.312488,  995.243945
   0.314517,  986.225414
   0.316545,  976.900840
   0.318574,  967.341943
   0.320602,  957.482202
   0.322631,  946.861297
   0.324659,  935.992978
   0.326688,  924.876539
   0.328716,  913.476605
   0.330745,  901.271103
   0.332773,  888.804463
   0.334802,  876.075914
   0.336830,  863.084681
   0.338859,  849.431803
   0.340887,  835.315795
   0.342916,  820.924136
   0.344944,  806.342831
   0.346973,  792.913872
   0.349002,  778.683117
   0.351030,  764.133216
   0.353059,  749.310845
   0.355087,  734.215107
   0.357116,  718.845106
   0.359144,  702.772241
   0.361173,  686.254138
   0.363201,  669.449038
   0.365230,  652.355988
   0.367258,  634.974036
   0.369287,  617.283237
   0.371315,  598.730845
   0.373344,  579.877003
   0.375372,  560.720703
   0.377401,  541.260941
   0.379429,  521.575877
   0.381458,  502.862107
   0.383487,  483.416409
   0.385515,  463.521207
   0.387544,  443.322530
   0.389572,  422.819323
   0.391601,  402.010530
   0.393629,  380.895098
   0.395658,  359.471969
   0.397686,  337.290852
   0.399715,  314.653140
   0.401743,  291.695505
   0.403772,  268.416846
   0.405800,  244.816061
   0.407829,  220.892049
   0.409857,  196.643709
   0.411886,  172.069940
   0.413914,  146.685910
   0.415943,  122.034926
   0.417971,   97.057939
   0.420000,   71.753807
