Mach, Rate of Climb
   0.234620,    0.968255
   0.236492,    0.973512
   0.238365,    0.977372
   0.240237,    0.979932
   0.242110,    0.980111
   0.243982,    0.978797
   0.245855,    0.979199
   0.247727,    0.978888
   0.249600,    0.977649
   0.251472,    0.974546
   0.253345,    0.969735
   0.255217,    0.963769
   0.257090,    0.955446
   0.258962,    0.946489
   0.260835,    0.934736
   0.262707,    0.922633
   0.264580,    0.907586
   0.266453,    0.892284
   0.268325,    0.874005
   0.270198,    0.855358
   0.272070,    0.834029
   0.273943,    0.811930
   0.275815,    0.787725
   0.277688,    0.762073
   0.279560,    0.737335
   0.281433,    0.712118
   0.283305,    0.686472
   0.285178,    0.658083
   0.287050,    0.628755
   0.288923,    0.598253
   0.290795,    0.565161
   0.292668,    0.531526
   0.294540,    0.495900
   0.296413,    0.458372
   0.298286,    0.420243
   0.300158,    0.379732
   0.302031,    0.337588
   0.303903,    0.294786
   0.305776,    0.249682
   0.307648,    0.202751
   0.309521,    0.155104
   0.311393,    0.105756
   0.313266,    0.055525
   0.315138,    0.006480
   0.317011,   -0.043296
   0.318883,   -0.096338
   0.320756,   -0.150406
   0.322628,   -0.205264
   0.324501,   -0.261574
   0.326373,   -0.320805
   0.328246,   -0.380882
   0.330119,   -0.441809
   0.331991,   -0.504444
   0.333864,   -0.569868
   0.335736,   -0.636198
   0.337609,   -0.703439
   0.339481,   -0.771846
   0.341354,   -0.843694
   0.343226,   -0.916508
   0.345099,   -0.990292
   0.346971,   -1.063525
   0.348844,   -1.136853
   0.350716,   -1.212397
   0.352589,   -1.288929
   0.354461,   -1.366450
   0.356334,   -1.444966
   0.358207,   -1.526245
   0.360079,   -1.609561
   0.361952,   -1.693927
   0.363824,   -1.779347
   0.365697,   -1.865825
   0.367569,   -1.954209
   0.369442,   -2.045600
   0.371314,   -2.138104
   0.373187,   -2.231726
   0.375059,   -2.326469
   0.376932,   -2.422338
   0.378804,   -2.520684
   0.380677,   -2.620617
   0.382549,   -2.719619
   0.384422,   -2.819776
   0.386294,   -2.921091
   0.388167,   -3.023569
   0.390040,   -3.127507
   0.391912,   -3.235098
   0.393785,   -3.343906
   0.395657,   -3.453936
   0.397530,   -3.565191
   0.399402,   -3.677677
   0.401275,   -3.791398
   0.403147,   -3.906533
   0.405020,   -4.025511
   0.406892,   -4.145777
   0.408765,   -4.267336
   0.410637,   -4.390193
   0.412510,   -4.514352
   0.414382,   -4.639244
   0.416255,   -4.763729
   0.418127,   -4.890162
   0.420000,   -5.020023
