Speed (TAS), Rate of Climb
  71.318783,    1.735042
  71.999260,    1.748812
  72.679736,    1.760344
  73.360212,    1.769705
  74.040689,    1.776974
  74.721165,    1.782074
  75.401642,    1.784254
  76.082118,    1.784479
  76.762594,    1.782859
  77.443071,    1.778357
  78.123547,    1.771726
  78.804024,    1.763471
  79.484500,    1.751988
  80.164976,    1.738830
  80.845453,    1.724356
  81.525929,    1.709194
  82.206405,    1.692701
  82.886882,    1.672836
  83.567358,    1.652020
  84.247835,    1.627754
  84.928311,    1.602537
  85.608787,    1.573912
  86.289264,    1.544446
  86.969740,    1.511315
  87.650217,    1.477408
  88.330693,    1.440008
  89.011169,    1.401380
  89.691646,    1.360078
  90.372122,    1.316599
  91.052598,    1.271659
  91.733075,    1.223206
  92.413551,    1.176967
  93.094028,    1.128483
  93.774504,    1.077798
  94.454980,    1.026089
  95.135457,    0.970571
  95.815933,    0.913641
  96.496410,    0.855581
  97.176886,    0.793342
  97.857362,    0.729924
  98.537839,    0.665325
  99.218315,    0.596672
  99.898792,    0.526538
 100.579268,    0.455144
 101.259744,    0.380543
 101.940221,    0.303477
 102.620697,    0.225072
 103.301173,    0.146779
 103.981650,    0.067270
 104.662126,   -0.013592
 105.342603,   -0.095813
 106.023079,   -0.180256
 106.703555,   -0.268325
 107.384032,   -0.357831
 108.064508,   -0.448779
 108.744985,   -0.541661
 109.425461,   -0.638616
 110.105937,   -0.737091
 110.786414,   -0.837091
 111.466890,   -0.938624
 112.147366,   -1.043805
 112.827843,   -1.151554
 113.508319,   -1.260912
 114.188796,   -1.371886
 114.869272,   -1.480063
 115.549748,   -1.591817
 116.230225,   -1.705808
 116.910701,   -1.821438
 117.591178,   -1.938715
 118.271654,   -2.057644
 118.952130,   -2.179611
 119.632607,   -2.304984
 120.313083,   -2.432085
 120.993560,   -2.560921
 121.674036,   -2.691501
 122.354512,   -2.823830
 123.034989,   -2.959575
 123.715465,   -3.098546
 124.395941,   -3.239341
 125.076418,   -3.381969
 125.756894,   -3.524902
 126.437371,   -3.667653
 127.117847,   -3.812220
 127.798323,   -3.961610
 128.478800,   -4.112971
 129.159276,   -4.266221
 129.839753,   -4.421368
 130.520229,   -4.578420
 131.200705,   -4.737385
 131.881182,   -4.898270
 132.561658,   -5.062977
 133.242134,   -5.230847
 133.922611,   -5.400710
 134.603087,   -5.572574
 135.283564,   -5.746447
 135.964040,   -5.922338
 136.644516,   -6.100253
 137.324993,   -6.277864
 138.005469,   -6.458317
 138.685946,   -6.642986
