Mach, Specific Range
   0.242764,    0.297656
   0.244820,    0.298320
   0.246876,    0.298920
   0.248931,    0.299461
   0.250987,    0.299899
   0.253043,    0.300254
   0.255099,    0.300562
   0.257154,    0.300757
   0.259210,    0.300888
   0.261266,    0.300967
   0.263322,    0.300926
   0.265377,    0.300863
   0.267433,    0.300678
   0.269489,    0.300460
   0.271545,    0.300150
   0.273600,    0.299787
   0.275656,    0.299348
   0.277712,    0.298746
   0.279768,    0.298059
   0.281824,    0.297328
   0.283879,    0.296515
   0.285935,    0.295681
   0.287991,    0.294742
   0.290047,    0.293814
   0.292102,    0.292758
   0.294158,    0.291705
   0.296214,    0.290583
   0.298270,    0.289408
   0.300325,    0.288236
   0.302381,    0.286942
   0.304437,    0.285658
   0.306493,    0.284331
   0.308548,    0.282932
   0.310604,    0.281514
   0.312660,    0.279819
   0.314716,    0.278088
   0.316771,    0.276372
   0.318827,    0.274592
   0.320883,    0.272783
   0.322939,    0.270989
   0.324995,    0.269154
   0.327050,    0.267274
   0.329106,    0.265411
   0.331162,    0.263549
   0.333218,    0.261605
   0.335273,    0.259680
   0.337329,    0.257772
   0.339385,    0.255821
   0.341441,    0.253842
   0.343496,    0.251881
   0.345552,    0.249940
   0.347608,    0.247946
   0.349664,    0.245945
   0.351719,    0.243964
   0.353775,    0.242001
   0.355831,    0.239997
   0.357887,    0.237980
   0.359942,    0.235983
   0.361998,    0.234005
   0.364054,    0.232028
   0.366110,    0.230003
   0.368166,    0.228000
   0.370221,    0.226017
   0.372277,    0.224055
   0.374333,    0.222077
   0.376389,    0.220076
   0.378444,    0.218097
   0.380500,    0.216128
   0.382556,    0.214172
   0.384612,    0.212218
   0.386667,    0.210232
   0.388723,    0.208269
   0.390779,    0.206328
   0.392835,    0.204409
   0.394890,    0.202511
   0.396946,    0.200595
   0.399002,    0.198676
   0.401058,    0.196780
   0.403113,    0.194905
   0.405169,    0.193051
   0.407225,    0.191219
   0.409281,    0.189385
   0.411337,    0.187539
   0.413392,    0.185715
   0.415448,    0.183894
   0.417504,    0.182091
   0.419560,    0.180309
   0.421615,    0.178548
   0.423671,    0.176781
   0.425727,    0.175014
   0.427783,    0.173269
   0.429838,    0.171545
   0.431894,    0.169842
   0.433950,    0.168160
   0.436006,    0.166499
   0.438061,    0.164858
   0.440117,    0.163197
   0.442173,    0.161555
   0.444229,    0.159933
   0.446284,    0.158332
