Speed(TAS), Altitude
 120.634085,    0.000000
 121.215186,  328.083990
 121.800392,  656.167979
 122.389743,  984.251969
 122.983276, 1312.335958
 123.581031, 1640.419948
 124.183047, 1968.503937
 124.789365, 2296.587927
 125.400025, 2624.671916
 126.015068, 2952.755906
 126.634536, 3280.839895
 127.258471, 3608.923885
 127.886916, 3937.007874
 128.519913, 4265.091864
 129.157506, 4593.175853
 129.799740, 4921.259843
 130.446658, 5249.343832
 131.098306, 5577.427822
 131.754730, 5905.511811
 132.415976, 6233.595801
 133.082090, 6561.679790
 133.753121, 6889.763780
 134.429115, 7217.847769
 135.110122, 7545.931759
 135.796191, 7874.015748
 136.487370, 8202.099738
 137.183712, 8530.183727
 137.885266, 8858.267717
 138.592084, 9186.351706
 139.304219, 9514.435696
 140.021723, 9842.519685
 140.744649, 10170.603675
 141.473052, 10498.687664
 142.206987, 10826.771654
 142.946509, 11154.855643
 143.691674, 11482.939633
 144.442540, 11811.023622
 145.199163, 12139.107612
 145.961603, 12467.191601
 146.729917, 12795.275591
 147.504167, 13123.359580
 148.284413, 13451.443570
 149.070716, 13779.527559
 149.863138, 14107.611549
 150.661742, 14435.695538
 151.466592, 14763.779528
 152.277752, 15091.863517
 153.095289, 15419.947507
 153.919267, 15748.031496
 154.749754, 16076.115486
 155.586819, 16404.199475
 156.430529, 16732.283465
 157.280955, 17060.367454
 158.138167, 17388.451444
 159.002238, 17716.535433
 159.873238, 18044.619423
 160.751243, 18372.703412
 161.636326, 18700.787402
 162.528562, 19028.871391
 163.428029, 19356.955381
 164.334803, 19685.039370
 165.248963, 20013.123360
 166.170589, 20341.207349
 167.099760, 20669.291339
 168.036560, 20997.375328
 168.981070, 21325.459318
 169.933375, 21653.543307
 170.893559, 21981.627297
 171.861709, 22309.711286
 172.837912, 22637.795276
 173.822256, 22965.879265
 174.814832, 23293.963255
 175.815729, 23622.047244
 176.825042, 23950.131234
 177.842862, 24278.215223
 178.869285, 24606.299213
 179.904408, 24934.383202
 180.948326, 25262.467192
 182.001140, 25590.551181
 183.062949, 25918.635171
 226.068034, 26246.719160
 230.610535, 25918.635171
 234.372149, 25590.551181
 237.761992, 25262.467192
 240.774052, 24934.383202
 243.402386, 24606.299213
 246.067517, 24278.215223
 248.340892, 23950.131234
 250.216726, 23622.047244
 252.121176, 23293.963255
 254.053995, 22965.879265
 255.579460, 22637.795276
 257.566509, 22309.711286
 258.703125, 21981.627297
 260.300911, 21653.543307
 261.479818, 21325.459318
 262.678721, 20997.375328
 263.897447, 20669.291339
 264.688023, 20341.207349
 265.944170, 20013.123360
 266.768401, 19685.039370
 267.608386, 19356.955381
 268.463991, 19028.871391
 268.878731, 18700.787402
 269.763492, 18372.703412
 270.203776, 18044.619423
 271.117208, 17716.535433
 271.582587, 17388.451444
 272.059524, 17060.367454
 272.547919, 16732.283465
 273.047672, 16404.199475
 273.558687, 16076.115486
 274.080867, 15748.031496
 274.141281, 15419.947507
 274.683902, 15091.863517
 274.761373, 14763.779528
 274.846461, 14435.695538
 274.939096, 14107.611549
 275.039211, 13779.527559
 275.146740, 13451.443570
 274.777686, 13123.359580
 274.898288, 12795.275591
 275.026114, 12467.191601
 275.161102, 12139.107612
 274.813073, 11811.023622
 274.960665, 11482.939633
 274.622072, 11154.855643
 274.782051, 10826.771654
 274.452705, 10498.687664
 274.624857, 10170.603675
 274.304572, 9842.519685
 273.487322, 9514.435696
 273.172951, 9186.351706
 272.358583, 8858.267717
 272.049999, 8530.183727
 271.238412, 8202.099738
 270.935492, 7874.015748
 270.126589, 7545.931759
 269.829213, 7217.847769
 269.022900, 6889.763780
 268.730950, 6561.679790
 268.442386, 6233.595801
 267.640497, 5905.511811
 267.357183, 5577.427822
 267.077159, 5249.343832
 266.279477, 4921.259843
 265.482216, 4593.175853
 264.685360, 4265.091864
 263.888894, 3937.007874
 263.092803, 3608.923885
 262.297073, 3280.839895
 261.501687, 2952.755906
 260.706631, 2624.671916
 259.911892, 2296.587927
 259.117454, 1968.503937
 258.323304, 1640.419948
 257.529428, 1312.335958
 256.735812,  984.251969
 255.942442,  656.167979
 255.149305,  328.083990
 254.356388,    0.000000
