Speed (TAS), Efficiency
  84.541126,   14.635897
  85.043927,   14.703719
  85.546728,   14.772461
  86.049529,   14.836624
  86.552330,   14.901728
  87.055131,   14.962176
  87.557932,   15.023299
  88.060733,   15.080383
  88.563534,   15.137320
  89.066335,   15.191315
  89.569136,   15.243878
  90.071937,   15.295107
  90.574738,   15.343126
  91.077539,   15.391717
  91.580340,   15.435281
  92.083141,   15.479092
  92.585942,   15.520623
  93.088743,   15.559529
  93.591544,   15.598842
  94.094345,   15.633389
  94.597146,   15.667617
  95.099947,   15.701095
  95.602748,   15.730159
  96.105549,   15.759485
  96.608349,   15.786966
  97.111150,   15.811007
  97.613951,   15.835247
  98.116752,   15.857315
  98.619553,   15.876181
  99.122354,   15.895189
  99.625155,   15.912515
 100.127956,   15.926093
 100.630757,   15.939764
 101.133558,   15.953097
 101.636359,   15.961315
 102.139160,   15.969582
 102.641961,   15.977899
 103.144762,   15.982566
 103.647563,   15.985404
 104.150364,   15.988256
 104.653165,   15.990702
 105.155966,   15.988119
 105.658767,   15.985526
 106.161568,   15.982920
 106.664369,   15.978741
 107.167170,   15.970753
 107.669971,   15.962736
 108.172772,   15.954689
 108.675573,   15.945085
 109.178374,   15.931746
 109.681175,   15.918368
 110.183976,   15.904951
 110.686777,   15.891205
 111.189578,   15.872621
 111.692378,   15.853997
 112.195179,   15.835333
 112.697980,   15.816629
 113.200781,   15.795112
 113.703582,   15.771401
 114.206383,   15.747657
 114.709184,   15.723880
 115.211985,   15.700070
 115.714786,   15.672515
 116.217587,   15.643895
 116.720388,   15.615256
 117.223189,   15.586599
 117.725990,   15.557925
 118.228791,   15.526129
 118.731592,   15.492869
 119.234393,   15.459612
 119.737194,   15.426358
 120.239995,   15.393107
 120.742796,   15.358889
 121.245597,   15.321300
 121.748398,   15.283739
 122.251199,   15.246208
 122.754000,   15.208707
 123.256801,   15.171237
 123.759602,   15.132286
 124.262403,   15.090765
 124.765204,   15.049304
 125.268005,   15.007905
 125.770806,   14.966567
 126.273607,   14.925292
 126.776407,   14.883854
 127.279208,   14.838826
 127.782009,   14.793893
 128.284810,   14.749056
 128.787611,   14.704316
 129.290412,   14.659673
 129.793213,   14.615127
 130.296014,   14.569812
 130.798815,   14.521847
 131.301616,   14.474013
 131.804417,   14.426313
 132.307218,   14.378745
 132.810019,   14.331310
 133.312820,   14.284009
 133.815621,   14.236842
 134.318422,   14.187011
