Mach, Efficiency
   0.212457,   14.635897
   0.214554,   14.748988
   0.216650,   14.857237
   0.218746,   14.960799
   0.220843,   15.059867
   0.222939,   15.154290
   0.225036,   15.241478
   0.227132,   15.324510
   0.229228,   15.403728
   0.231325,   15.476094
   0.233421,   15.543568
   0.235517,   15.607940
   0.237614,   15.664496
   0.239710,   15.717581
   0.241807,   15.766191
   0.243903,   15.808270
   0.245999,   15.848557
   0.248096,   15.880061
   0.250192,   15.910673
   0.252289,   15.933231
   0.254385,   15.954589
   0.256481,   15.968266
   0.258578,   15.981153
   0.260674,   15.985857
   0.262771,   15.990601
   0.264867,   15.986882
   0.266963,   15.982563
   0.269060,   15.972387
   0.271156,   15.959079
   0.273253,   15.943566
   0.275349,   15.921407
   0.277445,   15.899141
   0.279542,   15.870923
   0.281638,   15.839996
   0.283734,   15.808959
   0.285831,   15.769774
   0.287927,   15.730358
   0.290024,   15.690055
   0.292120,   15.642582
   0.294216,   15.595055
   0.296313,   15.547279
   0.298409,   15.492098
   0.300506,   15.436922
   0.302602,   15.381756
   0.304698,   15.321281
   0.306795,   15.258980
   0.308891,   15.196762
   0.310988,   15.133208
   0.313084,   15.064351
   0.315180,   14.995662
   0.317277,   14.927144
   0.319373,   14.856186
   0.321470,   14.781629
   0.323566,   14.707336
   0.325662,   14.633311
   0.327759,   14.557778
   0.329855,   14.478326
   0.331952,   14.399238
   0.334048,   14.320517
   0.336144,   14.242164
   0.338241,   14.159561
   0.340337,   14.076481
   0.342433,   13.993865
   0.344530,   13.911715
   0.346626,   13.830031
   0.348723,   13.743925
   0.350819,   13.658185
   0.352915,   13.573003
   0.355012,   13.488380
   0.357108,   13.404313
   0.359205,   13.317936
   0.361301,   13.230437
   0.363397,   13.143582
   0.365494,   13.057366
   0.367590,   12.971788
   0.369687,   12.886845
   0.371783,   12.799539
   0.373879,   12.711809
   0.375976,   12.624790
   0.378072,   12.538477
   0.380169,   12.452866
   0.382265,   12.367953
   0.384361,   12.283091
   0.386458,   12.195953
   0.388554,   12.109577
   0.390651,   12.023960
   0.392747,   11.939093
   0.394843,   11.854972
   0.396940,   11.771589
   0.399036,   11.688938
   0.401132,   11.604383
   0.403229,   11.520104
   0.405325,   11.436611
   0.407422,   11.353896
   0.409518,   11.271951
   0.411614,   11.190768
   0.413711,   11.110341
   0.415807,   11.030662
   0.417904,   10.950278
   0.420000,   10.869444
