Ground Distance, 
   0.000000,    0.000000
 808.688639,    0.000000
 841.014849,    0.000000
 873.341058,    0.000000
 905.667268,    0.000000
 937.993477,    0.000000
 970.319687,    0.000000
1002.645897,    0.000000
1034.972106,    0.000000
1067.298316,    0.000000
1099.624525,    0.000000
1102.171152,    0.000000
1127.600859,    0.000000
1302.339367,    0.000000
1336.910223,    0.000000
1371.356864,    0.000000
1405.679879,    0.000000
1439.879854,    0.000000
1446.705136,    0.000000
1446.814301,    0.000000
1446.898002,    0.000000
1446.940845,    0.000000
1446.961230,    0.000000
1446.969686,    0.000000
1446.971595,    0.000000
1446.972743,    0.000000
1446.973795,    0.000000
1446.984314,    0.000000
1447.089500,    0.000000
1448.141153,    0.000000
1458.637254,    0.000000
1482.658406,    0.000000
1508.303142,    0.000000
1624.563984,    0.000000
1733.735340,    0.000000
1831.515826,    0.000000
1918.181631,    0.000000
1994.375244,    0.000000
2060.828596,    0.000000
2118.287571,    0.000000
2125.683314,    0.000000
2129.818577,    0.000000
2154.988122,    0.000000
2176.747082,    0.000000
2185.832295,    0.000000
2189.793053,    0.000000
2193.552673,    0.000000
2228.554721,    0.000000
2238.392255,    0.000000
2246.230837,    0.000000
2247.849672,    0.000000
2249.706734,    0.000000
2267.147071,    0.000000
2293.383003,    0.000000
2298.411724,    0.000000
2302.830061,    0.000000
2307.076341,    0.000000
2308.451861,    0.000000
2308.915100,    0.000000
2309.369191,    0.000000
2313.608570,    0.000000
2324.418374,    0.000000
2325.934085,    0.000000
2326.690411,    0.000000
2327.151878,    0.000000
2327.404815,    0.000000
2327.494735,    0.000000
2327.496117,    0.000000
2327.496453,    0.000000
2327.496475,    0.000000
