Time, Acceleration
   0.000100, 32432.258286
   0.000632, 32432.098207
   0.002218, 32431.620871
   0.007077, 32430.158273
   0.016932, 32427.190808
   0.033662, 32422.150819
   0.058512, 32414.659577
   0.087458, 32405.924819
   0.116303, 32397.212015
   0.145366, 32388.423994
   0.174441, 32379.623679
   0.203588, 32370.792147
   0.232909, 32361.898995
   0.262299, 32352.975699
   0.291871, 32343.988010
   0.321316, 32335.029832
   0.351004, 32325.988094
   0.380597, 32316.966289
   0.410762, 32307.760566
   0.440644, 32298.631621
   0.471076, 32289.325193
   0.501615, 32279.976188
   0.532006, 32270.662539
   0.562763, 32261.227164
   0.593681, 32251.732317
   0.624600, 32242.227090
   0.656013, 32232.560070
   0.687658, 32222.811082
   0.719786, 32212.902448
   0.751814, 32203.014350
   0.784227, 32192.996316
   0.816741, 32182.936068
   0.849643, 32172.744968
   0.882412, 32162.583730
   0.915618, 32152.275618
   0.949000, 32141.901783
   0.982734, 32131.406623
   1.016581, 32120.864607
   1.050738, 32110.214330
   1.085043, 32099.505744
   1.119784, 32088.648832
   1.154759, 32077.706335
   1.190225, 32066.597435
   1.226161, 32055.328417
   1.262379, 32043.957705
   1.298572, 32032.581502
   1.334699, 32021.212958
   1.371762, 32009.536303
   1.408680, 31997.891409
   1.445733, 31986.190167
   1.482969, 31974.417087
   1.520248, 31962.616801
   1.557873, 31950.692849
   1.596460, 31938.449133
   1.635326, 31926.102166
   1.673656, 31913.910824
   1.712445, 31901.558336
   1.751185, 31889.206745
   1.790480, 31876.662958
   1.830122, 31863.993180
   1.870346, 31851.121602
   1.910553, 31838.239268
   1.951079, 31825.238916
   1.992188, 31812.035136
   2.033930, 31798.611171
   2.075686, 31785.165496
   2.117167, 31771.791698
   2.159066, 31758.266367
   2.201369, 31744.593052
   2.243683, 31730.899061
   2.286842, 31716.914050
   2.329881, 31702.949853
   2.373328, 31688.835302
   2.417343, 31674.517657
   2.461260, 31660.213342
   2.505257, 31645.864844
   2.549760, 31631.332629
   2.594599, 31616.671393
   2.639517, 31601.965550
   2.684373, 31587.260761
   2.730016, 31572.278712
   2.775929, 31557.187942
   2.821576, 31542.165367
   2.867938, 31526.887552
   2.914524, 31511.515610
   2.961161, 31496.106574
   3.007760, 31480.689720
   3.054346, 31465.257404
   3.101862, 31449.496082
   3.149295, 31433.741865
   3.196986, 31417.880824
   3.245242, 31401.810799
   3.293617, 31385.679837
   3.342336, 31369.412665
   3.391454, 31352.990317
   3.440379, 31336.610679
   3.489363, 31320.189535
   3.538787, 31303.599067
   3.588350, 31286.940100
   3.638050, 31270.212654
   3.688589, 31253.180158
   3.739293, 31236.069421
   3.789874, 31218.977125
   3.841149, 31201.627319
   3.892142, 31184.349691
   3.943302, 31166.992751
   3.994663, 31149.544188
   4.046067, 31132.058021
   4.098274, 31114.275090
   4.150657, 31096.408491
   4.202913, 31078.561248
   4.255790, 31060.477688
   4.308740, 31042.345302
   4.362333, 31023.968038
   4.364484, 31023.230053
   4.364869, 31023.097886
