Speed (TAS), Climb Angle
  61.981144,    6.833644
  62.798743,    6.796823
  63.616343,    6.756929
  64.433942,    6.714073
  65.251541,    6.668374
  66.069140,    6.619955
  66.886739,    6.568949
  67.704339,    6.515492
  68.521938,    6.459220
  69.339537,    6.400652
  70.157136,    6.339940
  70.974735,    6.283448
  71.792335,    6.227843
  72.609934,    6.169497
  73.427533,    6.109486
  74.245132,    6.048029
  75.062731,    5.984258
  75.880330,    5.918819
  76.697930,    5.852349
  77.515529,    5.783165
  78.333128,    5.713191
  79.150727,    5.641301
  79.968326,    5.568091
  80.785926,    5.493487
  81.603525,    5.417326
  82.421124,    5.342534
  83.238723,    5.271084
  84.056322,    5.198401
  84.873921,    5.124624
  85.691521,    5.049232
  86.509120,    4.973468
  87.326719,    4.895381
  88.144318,    4.817137
  88.961917,    4.737228
  89.779517,    4.656289
  90.597116,    4.575172
  91.414715,    4.491572
  92.232314,    4.407767
  93.049913,    4.323419
  93.867513,    4.236962
  94.685112,    4.157092
  95.502711,    4.076886
  96.320310,    3.994439
  97.137909,    3.911754
  97.955508,    3.828830
  98.773108,    3.744094
  99.590707,    3.658551
 100.408306,    3.572752
 101.225905,    3.486495
 102.043504,    3.398117
 102.861104,    3.309465
 103.678703,    3.220541
 104.496302,    3.131140
 105.313901,    3.039668
 106.131500,    2.951942
 106.949099,    2.866199
 107.766699,    2.780166
 108.584298,    2.692506
 109.401897,    2.603950
 110.219496,    2.515090
 111.037095,    2.425926
 111.854695,    2.336456
 112.672294,    2.245207
 113.489893,    2.153254
 114.307492,    2.060983
 115.125091,    1.968393
 115.942690,    1.875484
 116.760290,    1.781714
 117.577889,    1.688062
 118.395488,    1.598262
 119.213087,    1.508129
 120.030686,    1.417663
 120.848286,    1.326864
 121.665885,    1.235567
 122.483484,    1.142386
 123.301083,    1.048860
 124.118682,    0.954989
 124.936282,    0.860772
 125.753881,    0.766209
 126.571480,    0.671301
 127.389079,    0.576044
 128.206678,    0.478807
 129.024277,    0.381213
 129.841877,    0.286910
 130.659476,    0.192501
 131.477075,    0.097735
 132.294674,    0.002610
 133.112273,   -0.092874
 133.929873,   -0.188716
 134.747472,   -0.286132
 135.565071,   -0.384253
 136.382670,   -0.482744
 137.200269,   -0.581604
 138.017868,   -0.680833
 138.835468,   -0.780433
 139.653067,   -0.880403
 140.470666,   -0.980743
 141.288265,   -1.080009
 142.105864,   -1.178774
 142.923464,   -1.279219
