Speed, Forces
  61.980442, 40329.319712
  62.798049, 40042.229483
  63.615655, 39755.139254
  64.433261, 39468.049025
  65.250867, 39180.958796
  66.068474, 38893.868567
  66.886080, 38606.778338
  67.703686, 38319.688109
  68.521293, 38032.597880
  69.338899, 37745.507651
  70.156505, 37458.417422
  70.974111, 37194.476274
  71.791718, 36940.680852
  72.609324, 36686.885431
  73.426930, 36433.090009
  74.244536, 36179.294588
  75.062143, 35925.499166
  75.879749, 35671.703745
  76.697355, 35417.908323
  77.514962, 35164.112902
  78.332568, 34910.317480
  79.150174, 34656.522059
  79.967780, 34402.726638
  80.785387, 34148.931216
  81.602993, 33895.135795
  82.420599, 33650.790769
  83.238206, 33424.523938
  84.055812, 33198.257108
  84.873418, 32971.990277
  85.691024, 32745.723446
  86.508631, 32519.456615
  87.326237, 32293.189784
  88.143843, 32066.922954
  88.961449, 31840.656123
  89.779056, 31614.389292
  90.596662, 31388.122461
  91.414268, 31161.855631
  92.231875, 30935.588800
  93.049481, 30709.321969
  93.867087, 30483.055138
  94.684693, 30282.280313
  95.502300, 30081.729072
  96.319906, 29881.177832
  97.137512, 29680.626591
  97.955118, 29480.075350
  98.772725, 29279.524109
  99.590331, 29078.972868
 100.407937, 28878.421628
 101.225544, 28677.870387
 102.043150, 28477.319146
 102.860756, 28276.767905
 103.678362, 28076.216664
 104.495969, 27875.665424
 105.313575, 27675.114183
 106.131181, 27489.694838
 106.948787, 27312.812208
 107.766394, 27135.929579
 108.584000, 26959.046949
 109.401606, 26782.164320
 110.219213, 26605.281690
 111.036819, 26428.399060
 111.854425, 26251.516431
 112.672031, 26074.633801
 113.489638, 25897.751172
 114.307244, 25720.868542
 115.124850, 25543.985913
 115.942457, 25367.103283
 116.760063, 25190.220654
 117.577669, 25019.677044
 118.395275, 24864.856316
 119.212882, 24710.035588
 120.030488, 24555.214860
 120.848094, 24400.394133
 121.665700, 24245.573405
 122.483307, 24090.752677
 123.300913, 23935.931949
 124.118519, 23781.111222
 124.936126, 23626.290494
 125.753732, 23471.469766
 126.571338, 23316.649039
 127.388944, 23161.828311
 128.206551, 23007.007583
 129.024157, 22852.186855
 129.841763, 22711.074878
 130.659369, 22570.910483
 131.476976, 22430.746087
 132.294582, 22290.581691
 133.112188, 22150.417296
 133.929795, 22010.252900
 134.747401, 21870.088504
 135.565007, 21729.924108
 136.382613, 21589.759713
 137.200220, 21449.595317
 138.017826, 21309.430921
 138.835432, 21169.266526
 139.653038, 21029.102130
 140.470645, 20888.937734
 141.288251, 20754.203512
 142.105857, 20623.347687
 142.923464, 20492.491862
