Speed (CAS), Efficiency
 120.480352,   14.635897
 121.468774,   14.729724
 122.457196,   14.821066
 123.445618,   14.910181
 124.434040,   14.993713
 125.422462,   15.074568
 126.410885,   15.153199
 127.399307,   15.225721
 128.387729,   15.296798
 129.376151,   15.363213
 130.364573,   15.426328
 131.352995,   15.486751
 132.341417,   15.542092
 133.329839,   15.596177
 134.318261,   15.644031
 135.306683,   15.691476
 136.295105,   15.732227
 137.283528,   15.772775
 138.271950,   15.806898
 139.260372,   15.840340
 140.248794,   15.868401
 141.237216,   15.894577
 142.225638,   15.917221
 143.214060,   15.936019
 144.202482,   15.953967
 145.190904,   15.965324
 146.179326,   15.976774
 147.167748,   15.983258
 148.156171,   15.987181
 149.144593,   15.990693
 150.133015,   15.987128
 151.121437,   15.983541
 152.109859,   15.977612
 153.098281,   15.966580
 154.086703,   15.955491
 155.075125,   15.941355
 156.063547,   15.922930
 157.051969,   15.904430
 158.040391,   15.883439
 159.028814,   15.857770
 160.017236,   15.832025
 161.005658,   15.805619
 161.994080,   15.772923
 162.982502,   15.740164
 163.970924,   15.707343
 164.959346,   15.670394
 165.947768,   15.630908
 166.936190,   15.591387
 167.924612,   15.551832
 168.913034,   15.506445
 169.901457,   15.460568
 170.889879,   15.414697
 171.878301,   15.368833
 172.866723,   15.317184
 173.855145,   15.265384
 174.843567,   15.213641
 175.831989,   15.161957
 176.820411,   15.106236
 177.808833,   15.049028
 178.797255,   14.991938
 179.785677,   14.934965
 180.774100,   14.877322
 181.762522,   14.815253
 182.750944,   14.753366
 183.739366,   14.691663
 184.727788,   14.630144
 185.716210,   14.567792
 186.704632,   14.501670
 187.693054,   14.435799
 188.681476,   14.370181
 189.669898,   14.304816
 190.658320,   14.239707
 191.646742,   14.170991
 192.635165,   14.101830
 193.623587,   14.032990
 194.612009,   13.964472
 195.600431,   13.896276
 196.588853,   13.828402
 197.577275,   13.756710
 198.565697,   13.685316
 199.554119,   13.614307
 200.542541,   13.543684
 201.530963,   13.473447
 202.519385,   13.403595
 203.507808,   13.331995
 204.496230,   13.259115
 205.484652,   13.186681
 206.473074,   13.114689
 207.461496,   13.043140
 208.449918,   12.972031
 209.438340,   12.901361
 210.426762,   12.829530
 211.415184,   12.756336
 212.403606,   12.683636
 213.392028,   12.611426
 214.380451,   12.539705
 215.368873,   12.468468
 216.357295,   12.397714
 217.345717,   12.327441
 218.334139,   12.255871
