Speed (CAS), Efficiency
  61.043662,   13.955080
  61.468724,   14.018187
  61.893786,   14.080434
  62.318848,   14.139440
  62.743911,   14.195951
  63.168973,   14.250586
  63.594035,   14.301482
  64.019097,   14.351498
  64.444159,   14.396959
  64.869222,   14.442131
  65.294284,   14.482398
  65.719346,   14.522529
  66.144408,   14.557900
  66.569471,   14.592821
  66.994533,   14.623648
  67.419595,   14.653219
  67.844657,   14.679908
  68.269719,   14.704018
  68.694782,   14.727025
  69.119844,   14.745591
  69.544906,   14.764318
  69.969968,   14.778385
  70.395031,   14.791454
  70.820093,   14.802917
  71.245155,   14.810311
  71.670217,   14.817757
  72.095279,   14.821494
  72.520342,   14.823232
  72.945404,   14.824981
  73.370466,   14.821737
  73.795528,   14.817789
  74.220591,   14.813820
  74.645653,   14.804432
  75.070715,   14.794819
  75.495777,   14.785164
  75.920839,   14.770547
  76.345902,   14.755338
  76.770964,   14.740076
  77.196026,   14.721204
  77.621088,   14.700512
  78.046151,   14.679765
  78.471213,   14.657660
  78.896275,   14.631637
  79.321337,   14.605566
  79.746399,   14.579449
  80.171462,   14.550110
  80.596524,   14.518911
  81.021586,   14.487680
  81.446648,   14.456421
  81.871711,   14.421299
  82.296773,   14.385184
  82.721835,   14.349064
  83.146897,   14.312941
  83.571959,   14.273527
  83.997022,   14.232802
  84.422084,   14.192103
  84.847146,   14.151434
  85.272208,   14.109228
  85.697271,   14.064229
  86.122333,   14.019294
  86.547395,   13.974426
  86.972457,   13.929625
  87.397519,   13.881994
  87.822582,   13.833185
  88.247644,   13.784483
  88.672706,   13.735891
  89.097768,   13.687410
  89.522831,   13.636317
  89.947893,   13.584159
  90.372955,   13.532153
  90.798017,   13.480302
  91.223079,   13.428605
  91.648142,   13.375944
  92.073204,   13.320901
  92.498266,   13.266058
  92.923328,   13.211415
  93.348391,   13.156973
  93.773453,   13.102732
  94.198515,   13.047055
  94.623577,   12.989833
  95.048639,   12.932857
  95.473702,   12.876126
  95.898764,   12.819641
  96.323826,   12.763402
  96.748888,   12.706921
  97.173951,   12.648049
  97.599013,   12.589466
  98.024075,   12.531171
  98.449137,   12.473164
  98.874199,   12.415443
  99.299262,   12.358009
  99.724324,   12.300132
 100.149386,   12.240432
 100.574448,   12.181058
 100.999511,   12.122010
 101.424573,   12.063286
 101.849635,   12.004885
 102.274697,   11.946806
 102.699759,   11.889047
 103.124822,   11.829848
