Speed, Power
  51.485469, 1515743.840258
  52.409085, 1598790.384844
  53.332701, 1684816.218394
  54.256317, 1773873.845532
  55.179933, 1866015.770883
  56.103549, 1961294.499070
  57.027165, 2059762.534718
  57.950781, 2161472.382451
  58.874397, 2224323.125430
  59.798014, 2214578.209148
  60.721630, 1588056.522538
  61.645246, 1471599.853122
  62.568862, 1402606.241660
  63.492478, 1367861.681287
  64.416094, 1337970.896501
  65.339710, 1318702.822629
  66.263326, 1299173.686650
  67.186942, 1286040.155479
  68.110559, 1271609.252967
  69.034175, 1259781.891404
  69.957791, 1249607.554954
  70.881407, 1238355.551276
  71.805023, 1230473.837957
  72.728639, 1223434.034156
  73.652255, 1215517.458811
  74.575871, 1209428.075231
  75.499487, 1205433.537488
  76.423104, 1200738.393365
  77.346720, 1195334.072058
  78.270336, 1193878.484732
  79.193952, 1192978.718694
  80.117568, 1191551.477070
  81.041184, 1189590.608066
  81.964800, 1190762.420231
  82.888416, 1194352.512425
  83.812032, 1197612.228706
  84.735649, 1200537.887735
  85.659265, 1203125.808170
  86.582881, 1208851.806151
  87.506497, 1216652.292144
  88.430113, 1224290.596549
  89.353729, 1231765.007566
  90.277345, 1239073.813398
  91.200961, 1246215.302244
  92.124577, 1256858.383623
  93.048194, 1269118.603205
  93.971810, 1281368.626517
  94.895426, 1293608.352347
  95.819042, 1305837.679485
  96.742658, 1318056.506722
  97.666274, 1330264.732847
  98.589890, 1345034.846323
  99.513506, 1362781.060444
 100.437122, 1380671.215576
 101.360739, 1398706.647681
 102.284355, 1416888.692720
 103.207971, 1435218.686655
 104.131587, 1453697.965447
 105.055203, 1472327.865059
 105.978819, 1491109.721451
 106.902435, 1512526.729221
 107.826051, 1538027.086015
 108.749667, 1563848.297822
 109.673284, 1589993.113022
 110.596900, 1616464.279993
 111.520516, 1643264.547115
 112.444132, 1670396.662766
 113.367748, 1697863.375325
 114.291364, 1725667.433172
 115.214980, 1753811.584686
 116.138596, 1782298.578245
 117.062212, 1811131.162229
 117.985829, 1842967.287612
 118.909445, 1878003.444458
 119.833061, 1913521.709269
 120.756677, 1949525.826765
 121.680293, 1986019.541666
 122.603909, 2023006.598694
 123.527525, 2060490.742570
 124.451141, 2098475.718014
 125.374757, 2136965.269747
 126.298374, 2175963.142491
 127.221990, 2215473.080966
 128.145606, 2255498.829893
 129.069222, 2296044.133993
 129.992838, 2337112.737987
 130.916454, 2378708.386596
 131.840070, 2420834.824540
 132.763686, 2463495.796541
 133.687302, 2511253.570925
 134.610919, 2560113.616692
 135.534535, 2609624.508338
 136.458151, 2659790.711564
 137.381767, 2710616.692067
 138.305383, 2762106.915545
 139.228999, 2814265.847697
 140.152615, 2867097.954221
 141.076231, 2920607.700814
 141.999847, 2974799.553176
 142.923464, 3029677.977005
