Speed, Power
  61.080898, 1568403.083402
  62.045083, 1457294.956204
  63.009268, 1400889.921731
  63.973453, 1358767.916761
  64.937638, 1340066.386189
  65.901824, 1319542.106651
  66.866009, 1306960.994199
  67.830194, 1295339.669595
  68.794379, 1283592.762721
  69.758564, 1276485.860609
  70.722749, 1268290.771689
  71.686934, 1260292.762686
  72.651119, 1256657.828946
  73.615304, 1252165.482197
  74.579489, 1246804.103531
  75.543674, 1245761.363977
  76.507860, 1245387.946349
  77.472045, 1244370.419222
  78.436230, 1242700.502984
  79.400415, 1246157.113447
  80.364600, 1250096.954429
  81.328785, 1253613.006545
  82.292970, 1256700.088662
  83.257155, 1261017.516293
  84.221340, 1270262.559761
  85.185525, 1279309.710801
  86.149710, 1288156.662829
  87.113896, 1296801.109262
  88.078081, 1305240.743518
  89.042266, 1318407.059170
  90.006451, 1333610.002671
  90.970636, 1348835.363163
  91.934821, 1364083.384854
  92.899006, 1379354.311952
  93.863191, 1394648.388665
  94.827376, 1409965.859201
  95.791561, 1430916.886199
  96.755746, 1452626.226914
  97.719932, 1474551.575934
  98.684117, 1496695.119700
  99.648302, 1519059.044647
 100.612487, 1541645.537214
 101.576672, 1564456.783838
 102.540857, 1587494.970956
 103.505042, 1612519.615569
 104.469227, 1642246.243956
 105.433412, 1672381.678939
 106.397597, 1702929.748486
 107.361782, 1733894.280567
 108.325968, 1765279.103152
 109.290153, 1797088.044210
 110.254338, 1829324.931710
 111.218523, 1861993.593622
 112.182708, 1895097.857916
 113.146893, 1928641.552561
 114.111078, 1962628.505526
 115.075263, 2002210.842728
 116.039448, 2043363.224069
 117.003633, 2085128.183764
 117.967818, 2127510.878428
 118.932004, 2170516.464678
 119.896189, 2214150.099129
 120.860374, 2258416.938400
 121.824559, 2303322.139106
 122.788744, 2348870.857863
 123.752929, 2395068.251287
 124.717114, 2441919.475996
 125.681299, 2489429.688606
 126.645484, 2537604.045733
 127.609669, 2586447.703993
 128.573854, 2635965.820003
 129.538040, 2686163.550379
 130.502225, 2740780.857389
 131.466410, 2798733.447473
 132.430595, 2857523.024240
 133.394780, 2917155.797040
 134.358965, 2977637.975218
 135.323150, 3038975.768123
 136.287335, 3101175.385102
 137.251520, 3164243.035501
 138.215705, 3228184.928668
 139.179890, 3293007.273951
 140.144076, 3358716.280697
 141.108261, 3425318.158252
 142.072446, 3492819.115964
 143.036631, 3561225.363181
 144.000816, 3630543.109250
 144.965001, 3700778.563518
 145.929186, 3771937.935331
 146.893371, 3844027.434038
 147.857556, 3917053.268986
 148.821741, 3991021.649522
 149.785926, 4065938.784994
 150.750111, 4141810.884747
 151.714297, 4218644.158131
 152.678482, 4296444.814491
 153.642667, 4375219.063176
 154.606852, 4454973.113533
 155.571037, 4541576.384396
 156.535222, 4630092.937097
