Speed (CAS), Rate of Climb
  61.981149,    7.374411
  62.798748,    7.431618
  63.616347,    7.484391
  64.433946,    7.532721
  65.251546,    7.576617
  66.069145,    7.616098
  66.886744,    7.651201
  67.704343,    7.681973
  68.521943,    7.707880
  69.339542,    7.729421
  70.157141,    7.746685
  70.974740,    7.767413
  71.792340,    7.787637
  72.609939,    7.802822
  73.427538,    7.814223
  74.245137,    7.822049
  75.062737,    7.825106
  75.880336,    7.824148
  76.697935,    7.819948
  77.515534,    7.810199
  78.333134,    7.797399
  79.150733,    7.779967
  79.968332,    7.758646
  80.785931,    7.733278
  81.603531,    7.703570
  82.421130,    7.673647
  83.238729,    7.646417
  84.056328,    7.615346
  84.873927,    7.580582
  85.691527,    7.541302
  86.509126,    7.499307
  87.326725,    7.451617
  88.144324,    7.401453
  88.961924,    7.346474
  89.779523,    7.287600
  90.597122,    7.226127
  91.414721,    7.158384
  92.232321,    7.087919
  93.049920,    7.014174
  93.867519,    6.934568
  94.685118,    6.863342
  95.502718,    6.789271
  96.320317,    6.709146
  97.137916,    6.626257
  97.955515,    6.540593
  98.773115,    6.449436
  99.590714,    6.354453
 100.408313,    6.256572
 101.225912,    6.155426
 102.043512,    6.048037
 102.861111,    5.937627
 103.678710,    5.824184
 104.496309,    5.707325
 105.313909,    5.584104
 106.131508,    5.465191
 106.949107,    5.347462
 107.766706,    5.226732
 108.584306,    5.100458
 109.401905,    4.969966
 110.219504,    4.836352
 111.037103,    4.699604
 111.854702,    4.559707
 112.672302,    4.413750
 113.489901,    4.263789
 114.307500,    4.110559
 115.125099,    3.954046
 115.942699,    3.794238
 116.760298,    3.630016
 117.577897,    3.463351
 118.395496,    3.301962
 119.213096,    3.137311
 120.030695,    2.969384
 120.848294,    2.798167
 121.665893,    2.623293
 122.483493,    2.441783
 123.301092,    2.256865
 124.118691,    2.068524
 124.936290,    1.876747
 125.753890,    1.681517
 126.571489,    1.482820
 127.389088,    1.280637
 128.206687,    1.071301
 129.024287,    0.858383
 129.841886,    0.650136
 130.659485,    0.438954
 131.477084,    0.224256
 132.294684,    0.006025
 133.112283,   -0.215752
 133.929882,   -0.441093
 134.747481,   -0.672869
 135.565081,   -0.909092
 136.382680,   -1.148990
 137.200279,   -1.392580
 138.017878,   -1.639877
 138.835477,   -1.890897
 139.653077,   -2.145656
 140.470676,   -2.404170
 141.288275,   -2.662890
 142.105874,   -2.923192
 142.923474,   -3.190492
