Speed (CAS), Rate of Climb
  61.981149,    2.482964
  62.798748,    2.501868
  63.616347,    2.516792
  64.433946,    2.527717
  65.251546,    2.534638
  66.069145,    2.537561
  66.886744,    2.536510
  67.704343,    2.531523
  68.521943,    2.522652
  69.339542,    2.509469
  70.157141,    2.492188
  70.974740,    2.471083
  71.792340,    2.452920
  72.609939,    2.434372
  73.427538,    2.411169
  74.245137,    2.384680
  75.062737,    2.355076
  75.880336,    2.320642
  76.697935,    2.283043
  77.515534,    2.242006
  78.333134,    2.196411
  79.150733,    2.148265
  79.968332,    2.094937
  80.785931,    2.039092
  81.603531,    1.978440
  82.421130,    1.915046
  83.238729,    1.850800
  84.056328,    1.788264
  84.873927,    1.720570
  85.691527,    1.650870
  86.509126,    1.575859
  87.326725,    1.498303
  88.144324,    1.416787
  88.961924,    1.331163
  89.779523,    1.243268
  90.597122,    1.149671
  91.414721,    1.053388
  92.232321,    0.954137
  93.049920,    0.849291
  93.867519,    0.741912
  94.685118,    0.633417
  95.502718,    0.523872
  96.320317,    0.411770
  97.137916,    0.297098
  97.955515,    0.176472
  98.773115,    0.052815
  99.590714,   -0.073552
 100.408313,   -0.203974
 101.225912,   -0.339550
 102.043512,   -0.477974
 102.861111,   -0.619259
 103.678710,   -0.765162
 104.496309,   -0.915975
 105.313909,   -1.069787
 106.131508,   -1.225980
 106.949107,   -1.381050
 107.766706,   -1.542156
 108.584306,   -1.706329
 109.401905,   -1.873587
 110.219504,   -2.043947
 111.037103,   -2.218928
 111.854702,   -2.399286
 112.672302,   -2.582882
 113.489901,   -2.769733
 114.307500,   -2.959856
 115.125099,   -3.153502
 115.942699,   -3.353937
 116.760298,   -3.557778
 117.577897,   -3.765044
 118.395496,   -3.968619
 119.213096,   -4.175012
 120.030695,   -4.384851
 120.848294,   -4.601714
 121.665893,   -4.822062
 122.483493,   -5.045916
 123.301092,   -5.273293
 124.118691,   -5.504213
 124.936290,   -5.738694
 125.753890,   -5.977166
 126.571489,   -6.222539
 127.389088,   -6.471603
 128.206687,   -6.724378
 129.024287,   -6.980883
 129.841886,   -7.238931
 130.659485,   -7.499946
 131.477084,   -7.764712
 132.294684,   -8.033652
 133.112283,   -8.309686
 133.929882,   -8.589599
 134.747481,   -8.873409
 135.565081,   -9.161137
 136.382680,   -9.452803
 137.200279,   -9.748426
 138.017878,  -10.048027
 138.835477,  -10.351625
 139.653077,  -10.659240
 140.470676,  -10.973443
 141.288275,  -11.292671
 142.105874,  -11.615856
 142.923474,  -11.943198
