Speed (TAS), Rate of Climb
  80.729451,    0.114036
  81.270754,    0.117915
  81.812056,    0.121253
  82.353359,    0.123085
  82.894662,    0.123718
  83.435965,    0.123404
  83.977267,    0.121391
  84.518570,    0.118835
  85.059873,    0.114249
  85.601175,    0.109357
  86.142478,    0.102289
  86.683781,    0.094972
  87.225084,    0.085527
  87.766386,    0.075700
  88.307689,    0.064002
  88.848992,    0.051581
  89.390295,    0.038927
  89.931597,    0.028287
  90.472900,    0.017026
  91.014203,    0.003754
  91.555506,   -0.009636
  92.096808,   -0.025151
  92.638111,   -0.041285
  93.179414,   -0.058297
  93.720717,   -0.077239
  94.262019,   -0.096385
  94.803322,   -0.117338
  95.344625,   -0.139394
  95.885928,   -0.161696
  96.427230,   -0.186417
  96.968533,   -0.211724
  97.509836,   -0.237321
  98.051138,   -0.265599
  98.592441,   -0.294291
  99.133744,   -0.323316
  99.675047,   -0.354900
 100.216349,   -0.385860
 100.757652,   -0.414784
 101.298955,   -0.445692
 101.840258,   -0.477791
 102.381560,   -0.510268
 102.922863,   -0.543741
 103.464166,   -0.579462
 104.005469,   -0.615603
 104.546771,   -0.652167
 105.088074,   -0.690717
 105.629377,   -0.730626
 106.170680,   -0.771001
 106.711982,   -0.811842
 107.253285,   -0.855112
 107.794588,   -0.899393
 108.335891,   -0.944183
 108.877193,   -0.989483
 109.418496,   -1.037048
 109.959799,   -1.085873
 110.501101,   -1.135251
 111.042404,   -1.183775
 111.583707,   -1.231785
 112.125010,   -1.281936
 112.666312,   -1.332650
 113.207615,   -1.383929
 113.748918,   -1.435775
 114.290221,   -1.489898
 114.831523,   -1.545380
 115.372826,   -1.601472
 115.914129,   -1.658174
 116.455432,   -1.715489
 116.996734,   -1.775120
 117.538037,   -1.836163
 118.079340,   -1.897861
 118.620643,   -1.960215
 119.161945,   -2.023227
 119.703248,   -2.087644
 120.244551,   -2.154463
 120.785854,   -2.221981
 121.327156,   -2.290202
 121.868459,   -2.357889
 122.409762,   -2.425052
 122.951064,   -2.494076
 123.492367,   -2.565102
 124.033670,   -2.636853
 124.574973,   -2.709332
 125.116275,   -2.782541
 125.657578,   -2.856482
 126.198881,   -2.931534
 126.740184,   -3.009425
 127.281486,   -3.088088
 127.822789,   -3.167527
 128.364092,   -3.247744
 128.905395,   -3.328742
 129.446697,   -3.410524
 129.988000,   -3.493711
 130.529303,   -3.579546
 131.070606,   -3.666204
 131.611908,   -3.753688
 132.153211,   -3.842001
 132.694514,   -3.930122
 133.235817,   -4.018340
 133.777119,   -4.107381
 134.318422,   -4.198931
