Speed (CAS), Efficiency
 123.921187,    8.795759
 125.676077,    9.358449
 127.430968,    9.816446
 129.185859,   10.144992
 130.940750,   10.476687
 132.695641,   10.727010
 134.450531,   10.993171
 136.205422,   11.259496
 137.960313,   11.495451
 139.715204,   11.744725
 141.470094,   12.008414
 143.224985,   12.226188
 144.979876,   12.452965
 146.734767,   12.691234
 148.489658,   12.928896
 150.244548,   13.124340
 151.999439,   13.328189
 153.754330,   13.540950
 155.509221,   13.763177
 157.264112,   13.934904
 159.019002,   14.100744
 160.773893,   14.272488
 162.528784,   14.450421
 164.283675,   14.634853
 166.038566,   14.770066
 167.793456,   14.886037
 169.548347,   15.005092
 171.303238,   15.127336
 173.058129,   15.252878
 174.813020,   15.381833
 176.567910,   15.465208
 178.322801,   15.513465
 180.077692,   15.562506
 181.832583,   15.612344
 183.587473,   15.662989
 185.342364,   15.714455
 187.097255,   15.766755
 188.852146,   15.816792
 190.607037,   15.795922
 192.361927,   15.774913
 194.116818,   15.753769
 195.871709,   15.732490
 197.626600,   15.711078
 199.381491,   15.689534
 201.136381,   15.667859
 202.891272,   15.646055
 204.646163,   15.624123
 206.401054,   15.570286
 208.155945,   15.483686
 209.910835,   15.397323
 211.665726,   15.311206
 213.420617,   15.225341
 215.175508,   15.139737
 216.930399,   15.054400
 218.685289,   14.969339
 220.440180,   14.884560
 222.195071,   14.800070
 223.949962,   14.715875
 225.704852,   14.631981
 227.459743,   14.548394
 229.214634,   14.424378
 230.969525,   14.292942
 232.724416,   14.162903
 234.479306,   14.034252
 236.234197,   13.906977
 237.989088,   13.781066
 239.743979,   13.656508
 241.498870,   13.533290
 243.253760,   13.411401
 245.008651,   13.290830
 246.763542,   13.171563
 248.518433,   13.053589
 250.273324,   12.936896
 252.028214,   12.821472
 253.783105,   12.707303
 255.537996,   12.594379
 257.292887,   12.482687
 259.047778,   12.372213
 260.802668,   12.235251
 262.557559,   12.096242
 264.312450,   11.959455
 266.067341,   11.824846
 267.822232,   11.692373
 269.577122,   11.561993
 271.332013,   11.433665
 273.086904,   11.307348
 274.841795,   11.183005
 276.596685,   11.060596
 278.351576,   10.940084
 280.106467,   10.821432
 281.861358,   10.704604
 283.616249,   10.589566
 285.371139,   10.476282
 287.126030,   10.364720
 288.880921,   10.254846
 290.635812,   10.146629
 292.390703,   10.040037
 294.145593,    9.935039
 295.900484,    9.831606
 297.655375,    9.729708
