Mach, Efficiency
   0.177528,   14.635897
   0.179722,   14.777418
   0.181916,   14.911218
   0.184109,   15.037238
   0.186303,   15.155188
   0.188497,   15.264498
   0.190691,   15.365730
   0.192885,   15.459073
   0.195078,   15.544783
   0.197272,   15.623185
   0.199466,   15.694469
   0.201660,   15.755233
   0.203854,   15.809398
   0.206047,   15.857524
   0.208241,   15.896885
   0.210435,   15.928365
   0.212629,   15.955101
   0.214822,   15.972257
   0.217016,   15.983699
   0.219210,   15.989624
   0.221404,   15.986680
   0.223598,   15.981264
   0.225791,   15.965055
   0.227985,   15.947896
   0.230179,   15.920154
   0.232373,   15.892236
   0.234567,   15.853583
   0.236760,   15.814757
   0.238954,   15.767183
   0.241148,   15.717799
   0.243342,   15.662978
   0.245535,   15.603478
   0.247729,   15.543129
   0.249923,   15.474024
   0.252117,   15.404929
   0.254311,   15.331739
   0.256504,   15.253712
   0.258698,   15.175816
   0.260892,   15.092610
   0.263086,   15.006527
   0.265280,   14.920711
   0.267473,   14.830332
   0.269667,   14.737117
   0.271861,   14.644319
   0.274055,   14.549545
   0.276248,   14.450147
   0.278442,   14.351322
   0.280636,   14.253074
   0.282830,   14.150165
   0.285024,   14.046258
   0.287217,   13.943081
   0.289411,   13.840634
   0.291605,   13.733416
   0.293799,   13.626213
   0.295993,   13.519886
   0.298186,   13.414433
   0.300380,   13.306383
   0.302574,   13.197011
   0.304768,   13.088647
   0.306961,   12.981284
   0.309155,   12.874917
   0.311349,   12.764943
   0.313543,   12.655538
   0.315737,   12.547242
   0.317930,   12.440049
   0.320124,   12.333948
   0.322318,   12.225918
   0.324512,   12.117538
   0.326706,   12.010346
   0.328899,   11.904331
   0.331093,   11.799480
   0.333287,   11.695781
   0.335481,   11.590066
   0.337674,   11.484810
   0.339868,   11.380782
   0.342062,   11.277966
   0.344256,   11.176347
   0.346450,   11.075910
   0.348643,   10.976042
   0.350837,   10.874620
   0.353031,   10.774436
   0.355225,   10.675474
   0.357419,   10.577716
   0.359612,   10.481148
   0.361806,   10.385751
   0.364000,   10.291511
   0.366194,   10.196734
   0.368387,   10.102050
   0.370581,   10.008558
   0.372775,    9.916241
   0.374969,    9.825082
   0.377163,    9.735063
   0.379356,    9.646167
   0.381550,    9.558379
   0.383744,    9.471682
   0.385938,    9.384202
   0.388132,    9.297465
   0.390325,    9.211840
   0.392519,    9.127308
   0.394713,    9.043852
