Speed (TAS), Efficiency
 145.101267,   14.635897
 146.441870,   14.741702
 147.782473,   14.843540
 149.123077,   14.941610
 150.463680,   15.036147
 151.804283,   15.124004
 153.144886,   15.208105
 154.485489,   15.289109
 155.826093,   15.363838
 157.166696,   15.434461
 158.507299,   15.502655
 159.847902,   15.562976
 161.188506,   15.621201
 162.529109,   15.674331
 163.869712,   15.722824
 165.210315,   15.768392
 166.550919,   15.807519
 167.891522,   15.845216
 169.232125,   15.875468
 170.572728,   15.905049
 171.913332,   15.927037
 173.253935,   15.948323
 174.594538,   15.962768
 175.935141,   15.975646
 177.275745,   15.983368
 178.616348,   15.987789
 179.956951,   15.989696
 181.297554,   15.985672
 182.638158,   15.981621
 183.978761,   15.970350
 185.319364,   15.957880
 186.659967,   15.942988
 188.000570,   15.922240
 189.341174,   15.901399
 190.681777,   15.876011
 192.022380,   15.847074
 193.362983,   15.818040
 194.703587,   15.783779
 196.044190,   15.746906
 197.384793,   15.709954
 198.725396,   15.668552
 200.066000,   15.624079
 201.406603,   15.579562
 202.747206,   15.532817
 204.087809,   15.481150
 205.428413,   15.429488
 206.769016,   15.377836
 208.109619,   15.320820
 209.450222,   15.262484
 210.790826,   15.204220
 212.131429,   15.145870
 213.472032,   15.081364
 214.812635,   15.017004
 216.153239,   14.952793
 217.493842,   14.888734
 218.834445,   14.819022
 220.175048,   14.749328
 221.515651,   14.679866
 222.856255,   14.610639
 224.196858,   14.538412
 225.537461,   14.464091
 226.878064,   14.390089
 228.218668,   14.316409
 229.559271,   14.243052
 230.899874,   14.165814
 232.240477,   14.087977
 233.581081,   14.010547
 234.921684,   13.933525
 236.262287,   13.856913
 237.602890,   13.777808
 238.943494,   13.697304
 240.284097,   13.617291
 241.624700,   13.537767
 242.965303,   13.458732
 244.305907,   13.380185
 245.646510,   13.298230
 246.987113,   13.216419
 248.327716,   13.135171
 249.668320,   13.054485
 251.008923,   12.974357
 252.349526,   12.894785
 253.690129,   12.813419
 255.030732,   12.731148
 256.371336,   12.649501
 257.711939,   12.568475
 259.052542,   12.488066
 260.393145,   12.408271
 261.733749,   12.329084
 263.074352,   12.248420
 264.414955,   12.167092
 265.755558,   12.086431
 267.096162,   12.006432
 268.436765,   11.927091
 269.777368,   11.848402
 271.117971,   11.770361
 272.458575,   11.692961
 273.799178,   11.613919
 275.139781,   11.534899
 276.480384,   11.456570
 277.820988,   11.378924
