Vfailure/VsTO, Distance
   0.500000, 2071.554424
   0.500551, 2071.014611
   0.501101, 2070.474797
   0.501652, 2069.934984
   0.502202, 2069.395171
   0.502753, 2068.855357
   0.503303, 2068.315544
   0.503854, 2067.775730
   0.504404, 2067.235917
   0.504955, 2066.696104
   0.505506, 2066.156290
   0.506056, 2065.616477
   0.506607, 2065.076663
   0.507157, 2064.536850
   0.507708, 2063.997037
   0.508258, 2063.457223
   0.508809, 2062.917410
   0.509359, 2062.377596
   0.509910, 2061.837783
   0.510460, 2061.297969
   0.511011, 2060.758156
   0.511562, 2060.218343
   0.512112, 2059.678529
   0.512663, 2059.138716
   0.513213, 2058.598902
   0.513764, 2058.059089
   0.514314, 2057.519276
   0.514865, 2056.979462
   0.515415, 2056.439649
   0.515966, 2055.899835
   0.516517, 2055.360022
   0.517067, 2054.820209
   0.517618, 2054.280395
   0.518168, 2053.740582
   0.518719, 2053.200768
   0.519269, 2052.660955
   0.519820, 2052.121141
   0.520370, 2051.581328
   0.520921, 2051.041515
   0.521471, 2050.501701
   0.522022, 2049.961888
   0.522573, 2049.422074
   0.523123, 2048.882261
   0.523674, 2048.342448
   0.524224, 2047.802634
   0.524775, 2047.262821
   0.525325, 2046.723007
   0.525876, 2046.183194
   0.526426, 2045.643381
   0.526977, 2045.103567
   0.527528, 2044.563754
   0.528078, 2044.023940
   0.528629, 2043.484127
   0.529179, 2042.944313
   0.529730, 2042.404500
   0.530280, 2041.864687
   0.530831, 2041.324873
   0.531381, 2040.785060
   0.531932, 2040.245246
   0.532482, 2039.705433
   0.533033, 2039.165620
   0.533584, 2038.625806
   0.534134, 2038.085993
   0.534685, 2037.546179
   0.535235, 2037.006366
   0.535786, 2036.466552
   0.536336, 2035.926739
   0.536887, 2035.386926
   0.537437, 2034.847112
   0.537988, 2034.307299
   0.538539, 2033.767485
   0.539089, 2033.227672
   0.539640, 2032.687859
   0.540190, 2032.148045
   0.540741, 2031.608232
   0.541291, 2031.068418
   0.541842, 2030.528605
   0.542392, 2029.988792
   0.542943, 2029.448978
   0.543493, 2028.909165
   0.544044, 2028.369351
   0.544595, 2027.829538
   0.545145, 2027.289724
   0.545696, 2026.749911
   0.546246, 2026.210098
   0.546797, 2025.670284
   0.547347, 2025.130471
   0.547898, 2024.590657
   0.548448, 2024.050844
   0.548999, 2023.511031
   0.549550, 2022.971217
   0.550100, 2022.431404
   0.550651, 2021.891590
   0.551201, 2021.351777
   0.551752, 2020.811964
   0.552302, 2020.272150
   0.552853, 2019.732337
   0.553403, 2019.192523
   0.553954, 2018.652710
   0.554505, 2018.112896
   0.555055, 2017.573083
   0.555606, 2017.033270
   0.556156, 2016.493456
   0.556707, 2015.953643
   0.557257, 2015.413829
   0.557808, 2014.874016
   0.558358, 2014.334203
   0.558909, 2013.794389
   0.559459, 2013.254576
   0.560010, 2012.714762
   0.560561, 2012.174949
   0.561111, 2011.635136
   0.561662, 2011.095322
   0.562212, 2010.555509
   0.562763, 2010.015695
   0.563313, 2009.475882
   0.563864, 2008.936068
   0.564414, 2008.396255
   0.564965, 2007.856442
   0.565516, 2007.316628
   0.566066, 2006.776815
   0.566617, 2006.237001
   0.567167, 2005.697188
   0.567718, 2005.157375
   0.568268, 2004.617561
   0.568819, 2004.077748
   0.569369, 2003.537934
   0.569920, 2002.998121
   0.570470, 2002.458308
   0.571021, 2001.918494
   0.571572, 2001.378681
   0.572122, 2000.838867
   0.572673, 2000.299054
   0.573223, 1999.759240
   0.573774, 1999.219427
   0.574324, 1998.679614
   0.574875, 1998.139800
   0.575425, 1997.599987
   0.575976, 1997.060173
   0.576527, 1996.520360
   0.577077, 1995.980547
   0.577628, 1995.440733
   0.578178, 1994.900920
   0.578729, 1994.361106
   0.579279, 1993.821293
   0.579830, 1993.281480
   0.580380, 1992.741666
   0.580931, 1992.201853
   0.581481, 1991.662039
   0.582032, 1991.122226
   0.582583, 1990.582412
   0.583133, 1990.042599
   0.583684, 1989.502786
   0.584234, 1988.962972
   0.584785, 1988.423159
   0.585335, 1987.883345
   0.585886, 1987.343532
   0.586436, 1986.803719
   0.586987, 1986.263905
   0.587538, 1985.724092
   0.588088, 1985.184278
   0.588639, 1984.644465
   0.589189, 1984.104651
   0.589740, 1983.564838
   0.590290, 1983.025025
   0.590841, 1982.485211
   0.591391, 1981.945398
   0.591942, 1981.405584
   0.592492, 1980.865771
   0.593043, 1980.325958
   0.593594, 1979.786144
   0.594144, 1979.246331
   0.594695, 1978.706517
   0.595245, 1978.166704
   0.595796, 1977.626891
   0.596346, 1977.087077
   0.596897, 1976.547264
   0.597447, 1976.007450
   0.597998, 1975.467637
   0.598549, 1974.927823
   0.599099, 1974.388010
   0.599650, 1973.848197
   0.600200, 1973.308383
   0.600751, 1972.768570
   0.601301, 1972.228756
   0.601852, 1971.688943
   0.602402, 1971.149130
   0.602953, 1970.609316
   0.603504, 1970.069503
   0.604054, 1969.529689
   0.604605, 1968.989876
   0.605155, 1968.450063
   0.605706, 1967.910249
   0.606256, 1967.370436
   0.606807, 1966.830622
   0.607357, 1966.290809
   0.607908, 1965.750995
   0.608458, 1965.211182
   0.609009, 1964.671369
   0.609560, 1964.131555
   0.610110, 1963.591742
   0.610661, 1963.051928
   0.611211, 1962.512115
   0.611762, 1961.972302
   0.612312, 1961.432488
   0.612863, 1960.892675
   0.613413, 1960.352861
   0.613964, 1959.813048
   0.614515, 1959.273235
   0.615065, 1958.733421
   0.615616, 1958.193608
   0.616166, 1957.653794
   0.616717, 1957.113981
   0.617267, 1956.574167
   0.617818, 1956.034354
   0.618368, 1955.494541
   0.618919, 1954.954727
   0.619469, 1954.414914
   0.620020, 1953.875100
   0.620571, 1953.335287
   0.621121, 1952.795474
   0.621672, 1952.255660
   0.622222, 1951.715847
   0.622773, 1951.176033
   0.623323, 1950.636220
   0.623874, 1950.096407
   0.624424, 1949.556593
   0.624975, 1949.016780
   0.625526, 1948.476966
   0.626076, 1947.937153
   0.626627, 1947.397339
   0.627177, 1946.857526
   0.627728, 1946.317713
   0.628278, 1945.777899
   0.628829, 1945.238086
   0.629379, 1944.698272
   0.629930, 1944.158459
   0.630480, 1943.618646
   0.631031, 1943.078832
   0.631582, 1942.539019
   0.632132, 1941.999205
   0.632683, 1941.459392
   0.633233, 1940.919579
   0.633784, 1940.379765
   0.634334, 1939.839952
   0.634885, 1939.300138
   0.635435, 1938.760325
   0.635986, 1938.220511
   0.636537, 1937.680698
   0.637087, 1937.140885
   0.637638, 1936.601071
   0.638188, 1936.061258
   0.638739, 1935.521444
   0.639289, 1934.981631
   0.639840, 1934.441818
   0.640390, 1933.902004
   0.640941, 1933.362191
   0.641491, 1932.822377
   0.642042, 1932.282564
   0.642593, 1931.742750
   0.643143, 1931.202937
   0.643694, 1930.663124
   0.644244, 1930.123310
   0.644795, 1929.583497
   0.645345, 1929.043683
   0.645896, 1928.503870
   0.646446, 1927.964057
   0.646997, 1927.424243
   0.647548, 1926.884430
   0.648098, 1926.344616
   0.648649, 1925.804803
   0.649199, 1925.264990
   0.649750, 1924.725176
   0.650300, 1924.185363
   0.650851, 1923.645549
   0.651401, 1923.105736
   0.651952, 1922.565922
   0.652503, 1922.026109
   0.653053, 1921.486296
   0.653604, 1920.946482
   0.654154, 1920.406669
   0.654705, 1919.866855
   0.655255, 1919.327042
   0.655806, 1918.787229
   0.656356, 1918.247415
   0.656907, 1917.707602
   0.657457, 1917.167788
   0.658008, 1916.627975
   0.658559, 1916.088162
   0.659109, 1915.548348
   0.659660, 1915.008535
   0.660210, 1914.468721
   0.660761, 1913.928908
   0.661311, 1913.389094
   0.661862, 1912.849281
   0.662412, 1912.309468
   0.662963, 1911.769654
   0.663514, 1911.229841
   0.664064, 1910.690027
   0.664615, 1910.150214
   0.665165, 1909.610401
   0.665716, 1909.070587
   0.666266, 1908.530774
   0.666817, 1907.990960
   0.667367, 1907.451147
   0.667918, 1906.911334
   0.668468, 1906.371520
   0.669019, 1905.831707
   0.669570, 1905.291893
   0.670120, 1904.752080
   0.670671, 1904.212266
   0.671221, 1903.672453
   0.671772, 1903.132640
   0.672322, 1902.592826
   0.672873, 1902.053013
   0.673423, 1901.513199
   0.673974, 1900.973386
   0.674525, 1900.433573
   0.675075, 1899.893759
