Time, Horizontal Forces
   0.000000, 61943.516317
   0.000001, 61943.223390
   0.000006, 61942.327294
   0.000051, 61940.040284
   0.000254, 61935.674138
   0.000937, 61928.383774
   0.003594, 61913.811894
   0.008770, 61897.053059
   0.016215, 61880.283325
   0.025986, 61863.406186
   0.038053, 61846.506809
   0.052396, 61829.608317
   0.069115, 61812.608528
   0.088096, 61795.631312
   0.109545, 61778.507878
   0.133445, 61761.284925
   0.159844, 61743.952775
   0.188742, 61726.533213
   0.220179, 61709.019143
   0.254154, 61691.425972
   0.290762, 61673.721380
   0.329834, 61655.995341
   0.371933, 61638.015025
   0.416730, 61619.946915
   0.464133, 61601.836363
   0.514632, 61583.512280
   0.568012, 61565.074460
   0.623767, 61546.698710
   0.683393, 61527.912643
   0.746091, 61509.001078
   0.811495, 61490.079822
   0.879944, 61471.055086
   0.952973, 61451.533462
   1.028661, 61432.051779
   1.108195, 61412.314061
   1.190503, 61392.596324
   1.276329, 61372.725203
   1.366302, 61352.574215
   1.460383, 61332.175638
   1.557910, 61311.687097
   1.658864, 61291.117836
   1.765569, 61270.019942
   1.876077, 61248.805149
   1.991080, 61227.353526
   2.108697, 61206.018730
   2.232114, 61184.234772
   2.358495, 61162.515020
   2.491456, 61140.255258
   2.627207, 61118.104222
   2.766419, 61095.946536
   2.910997, 61073.488030
   3.061458, 61050.670509
   3.214194, 61028.044949
   3.373591, 61004.968570
   3.537116, 60981.823724
   3.707854, 60958.190385
   3.881891, 60934.622653
   4.060893, 60910.895496
   4.246787, 60886.769660
   4.436942, 60862.598306
   4.635771, 60837.838270
   4.839095, 60813.027383
   5.046944, 60788.163277
   5.262260, 60762.905175
   5.479624, 60737.891101
   5.704145, 60712.534054
   5.932675, 60687.196627
   6.172206, 60661.121715
   6.417668, 60634.883722
   6.664659, 60608.947610
   6.919177, 60582.682323
   7.182286, 60555.995766
   7.451337, 60529.169295
   7.728786, 60501.968991
   8.011867, 60474.676060
   8.300203, 60447.328546
   8.595273, 60419.790277
   8.898197, 60391.966337
   9.208447, 60363.915672
   9.524740, 60335.760182
   9.847117, 60307.499171
  10.178260, 60278.905814
  10.517285, 60250.067613
  10.863781, 60221.027768
  11.215388, 60191.986645
  11.577699, 60162.490438
  11.947059, 60132.847986
  12.323083, 60103.093768
  12.706533, 60073.171711
  13.101735, 60042.756082
  13.498441, 60012.637999
  13.905442, 59982.149742
  14.322436, 59951.326254
  14.746977, 59920.356254
  15.179755, 59889.194230
  15.615931, 59858.187759
  16.065427, 59826.637119
  16.521679, 59795.013047
  16.989674, 59762.977398
  17.467086, 59730.699769
  17.948124, 59698.571820
  18.442233, 59665.966825
  18.943653, 59633.273587
  19.455403, 59600.299986
  19.971291, 59567.446346
  20.503197, 59533.963182
  21.039939, 59500.562360
  21.591975, 59466.599625
  22.154661, 59432.373075
  22.722075, 59398.244132
  23.294581, 59364.186477
  23.879363, 59329.775744
  24.470105, 59295.387393
  25.080064, 59260.259652
  25.104614, 59258.853647
  25.110192, 59258.534293
  25.111427, 59258.463577
  25.113175, 59258.363548
  25.113784, 59258.328656
  25.114962, 59258.261209
  25.115436, 59258.234070
  25.115489, 59258.230552
  25.115536, 59258.227159
  25.116007, 59258.193223
  25.120721, 59257.853870
  25.146034, 59256.032015
  25.240975, 59249.206322
  25.544938, 59227.432144
  26.122884, 59186.357133
  26.701027, 59145.683480
  27.285207, 59104.993511
  27.878682, 59064.063001
  28.479559, 59023.026640
  29.087489, 58981.909984
  29.709576, 58940.240724
  30.339197, 58898.470896
  30.977515, 58856.526415
  31.624560, 58814.409127
  32.281037, 58772.077643
  32.946776, 58729.547778
  33.624452, 58686.655402
  34.313136, 58643.467529
  35.009054, 58600.224580
  35.708189, 58557.173431
  36.418015, 58513.853806
  37.136818, 58470.375151
  37.867779, 58426.550844
  38.610465, 58382.414465
  39.366949, 58337.851802
  40.124054, 58293.638995
  40.893463, 58249.092652
  41.674081, 58204.283004
  42.464088, 58159.318813
  43.263317, 58114.212591
  44.070501, 58069.037434
  44.886655, 58023.738123
  45.715278, 57978.124992
